,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
0,farina,9.0,1,1,1,1950
1,fagioli,6.0,2,0,1,1950
2,reg_parnell,4.0,3,0,1,1950
3,cabantous,3.0,4,0,1,1950
4,rosier,2.0,5,0,1,1950
5,gerard,0.0,6,0,1,1950
6,harrison,0.0,7,0,1,1950
7,etancelin,0.0,8,0,1,1950
8,hampshire,0.0,9,0,1,1950
9,fry,0.0,10,0,1,1950
10,shawe_taylor,0.0,11,0,1,1950
11,claes,0.0,12,0,1,1950
12,fangio,0.0,13,0,1,1950
13,kelly,0.0,14,0,1,1950
14,bira,0.0,15,0,1,1950
15,murray,0.0,16,0,1,1950
16,crossley,0.0,17,0,1,1950
17,graffenried,0.0,18,0,1,1950
18,chiron,0.0,19,0,1,1950
19,martin,0.0,20,0,1,1950
20,rolt,0.0,21,0,1,1950
21,peter_walker,0.0,22,0,1,1950
22,leslie_johnson,0.0,23,0,1,1950
23,farina,9.0,1,1,2,1950
24,fangio,9.0,2,1,2,1950
25,fagioli,6.0,3,0,2,1950
26,ascari,6.0,4,0,2,1950
27,chiron,4.0,5,0,2,1950
28,reg_parnell,4.0,6,0,2,1950
29,cabantous,3.0,7,0,2,1950
30,sommer,3.0,8,0,2,1950
31,rosier,2.0,9,0,2,1950
32,bira,2.0,10,0,2,1950
33,gerard,0.0,11,0,2,1950
34,claes,0.0,12,0,2,1950
35,harrison,0.0,13,0,2,1950
36,etancelin,0.0,14,0,2,1950
37,hampshire,0.0,15,0,2,1950
38,fry,0.0,16,0,2,1950
39,shawe_taylor,0.0,17,0,2,1950
40,villoresi,0.0,18,0,2,1950
41,gonzalez,0.0,19,0,2,1950
42,kelly,0.0,20,0,2,1950
43,manzon,0.0,21,0,2,1950
44,graffenried,0.0,22,0,2,1950
45,murray,0.0,23,0,2,1950
46,crossley,0.0,24,0,2,1950
47,trintignant,0.0,25,0,2,1950
48,rol,0.0,26,0,2,1950
49,martin,0.0,27,0,2,1950
50,schell,0.0,28,0,2,1950
51,rolt,0.0,29,0,2,1950
52,peter_walker,0.0,30,0,2,1950
53,farina,9.0,1,1,3,1950
54,fangio,9.0,2,1,3,1950
55,parsons,9.0,3,1,3,1950
56,fagioli,6.0,4,0,3,1950
57,ascari,6.0,5,0,3,1950
58,holland,6.0,6,0,3,1950
59,chiron,4.0,7,0,3,1950
60,reg_parnell,4.0,8,0,3,1950
61,rose,4.0,9,0,3,1950
62,cabantous,3.0,10,0,3,1950
63,green,3.0,11,0,3,1950
64,sommer,3.0,12,0,3,1950
65,rosier,2.0,13,0,3,1950
66,bira,2.0,14,0,3,1950
67,bettenhausen,1.0,15,0,3,1950
68,chitwood,1.0,16,0,3,1950
69,gerard,0.0,17,0,3,1950
70,wallard,0.0,18,0,3,1950
71,claes,0.0,19,0,3,1950
72,harrison,0.0,20,0,3,1950
73,faulkner,0.0,21,0,3,1950
74,etancelin,0.0,22,0,3,1950
75,george_connor,0.0,23,0,3,1950
76,hampshire,0.0,24,0,3,1950
77,paul_russo,0.0,25,0,3,1950
78,flaherty,0.0,26,0,3,1950
79,fry,0.0,27,0,3,1950
80,shawe_taylor,0.0,28,0,3,1950
81,fohr,0.0,29,0,3,1950
82,darter,0.0,30,0,3,1950
83,farina,18.0,1,2,4,1950
84,fagioli,12.0,2,0,4,1950
85,fangio,9.0,3,1,4,1950
86,parsons,9.0,4,1,4,1950
87,ascari,6.0,5,0,4,1950
88,holland,6.0,6,0,4,1950
89,rosier,6.0,7,0,4,1950
90,bira,5.0,8,0,4,1950
91,chiron,4.0,9,0,4,1950
92,reg_parnell,4.0,10,0,4,1950
93,rose,4.0,11,0,4,1950
94,sommer,3.0,12,0,4,1950
95,cabantous,3.0,13,0,4,1950
96,green,3.0,14,0,4,1950
97,bonetto,2.0,15,0,4,1950
98,bettenhausen,1.0,16,0,4,1950
99,chitwood,1.0,17,0,4,1950
100,gerard,0.0,18,0,4,1950
101,graffenried,0.0,19,0,4,1950
102,wallard,0.0,20,0,4,1950
103,claes,0.0,21,0,4,1950
104,harrison,0.0,22,0,4,1950
105,faulkner,0.0,23,0,4,1950
106,pagani,0.0,24,0,4,1950
107,etancelin,0.0,25,0,4,1950
108,schell,0.0,26,0,4,1950
109,george_connor,0.0,27,0,4,1950
110,hampshire,0.0,28,0,4,1950
111,paul_russo,0.0,29,0,4,1950
112,flaherty,0.0,30,0,4,1950
113,farina,22.0,1,2,5,1950
114,fagioli,18.0,2,0,5,1950
115,fangio,17.0,3,2,5,1950
116,rosier,10.0,4,0,5,1950
117,parsons,9.0,5,1,5,1950
118,ascari,8.0,6,0,5,1950
119,holland,6.0,7,0,5,1950
120,bira,5.0,8,0,5,1950
121,chiron,4.0,9,0,5,1950
122,reg_parnell,4.0,10,0,5,1950
