Constructor,D.O.B,Driver,Grid Pos,Nationality,Podium,Points,Round,Season,Status,Time,Track,URL
alfa,1906-10-30,farina,1,Italian,1,9.0,1,1950,Finished,8003600.0,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alfa,1898-06-09,fagioli,2,Italian,2,6.0,1,1950,Finished,8006200.0,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alfa,1911-07-02,reg_parnell,4,British,3,4.0,1,1950,Finished,8055600.0,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
lago,1904-10-08,cabantous,6,French,4,3.0,1,1950,+2 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
lago,1905-11-05,rosier,9,French,5,2.0,1,1950,+2 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
era,1914-01-19,gerard,13,British,6,0.0,1,1950,+3 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
era,1906-07-06,harrison,15,British,7,0.0,1,1950,+3 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
lago,1896-12-28,etancelin,14,French,8,0.0,1,1950,+5 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1917-12-29,hampshire,16,British,9,0.0,1,1950,+6 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1915-01-28,shawe_taylor,20,British,10,0.0,1,1950,+6 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1915-10-26,fry,20,British,10,0.0,1,1950,+6 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
lago,1916-08-11,claes,21,Belgian,11,0.0,1,1950,+6 Laps,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alfa,1911-06-24,fangio,3,Argentine,12,0.0,1,1950,Oil leak,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alta,1913-03-13,kelly,19,Irish,13,0.0,1,1950,Not classified,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1914-07-15,bira,5,Thai,14,0.0,1,1950,Out of fuel,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1909-12-28,murray,18,British,15,0.0,1,1950,Engine,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alta,1921-05-11,crossley,17,British,16,0.0,1,1950,Transmission,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1914-05-18,graffenried,8,Swiss,17,0.0,1,1950,Engine,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
maserati,1899-08-03,chiron,11,Monegasque,18,0.0,1,1950,Clutch,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
lago,1915-03-24,martin,7,French,19,0.0,1,1950,Oil pressure,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
era,1918-10-16,rolt,10,British,20,0.0,1,1950,Gearbox,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
era,1912-10-07,peter_walker,10,British,20,0.0,1,1950,Gearbox,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
era,1912-03-22,leslie_johnson,12,British,21,0.0,1,1950,Supercharger,,silverstone,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
alfa,1911-06-24,fangio,1,Argentine,1,9.0,2,1950,Finished,11598700.0,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
ferrari,1918-07-13,ascari,7,Italian,2,6.0,2,1950,+1 Lap,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1899-08-03,chiron,8,Monegasque,3,4.0,2,1950,+2 Laps,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
ferrari,1906-08-31,sommer,9,French,4,3.0,2,1950,+3 Laps,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
maserati,1914-07-15,bira,15,Thai,5,2.0,2,1950,+5 Laps,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
era,1914-01-19,gerard,16,British,6,0.0,2,1950,+6 Laps,,monaco,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
