Driver,Races
merzario,6
laffite,43
brise,1
magee,1
ian_scheckter,2
migault,1
ashley,1
vonlanthen,1
zorzi,2
lombardi,1
zapico,1
jones,60
regazzoni,15
reutemann,31
keegan,7
desire_wilson,1
cogan,1
lees,1
keke_rosberg,62
mario_andretti,1
daly,12
palmer,1
mansell,97
piquet,32
patrese,81
brundle,1
schlesser,1
boutsen,32
prost,16
damon_hill,65
senna,3
coulthard,25
villeneuve,49
frentzen,33
ralf_schumacher,94
zanardi,16
button,17
montoya,68
gene,3
pizzonia,9
webber,37
heidfeld,14
rosberg,70
wurz,16
nakajima,36
barrichello,38
hulkenberg,19
maldonado,58
bruno_senna,20
bottas,78
massa,78
stroll,41
resta,1
sirotkin,21
russell,37
kubica,21
latifi,17
aitken,1
