Round: 0,Country,Date,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
0,UK,1950-05-13,N/A,0,0,0,0,0
1,Monaco,1950-05-21,N/A,0,0,0,0,0
2,USA,1950-05-30,Rainy,0,0,0,11,0
3,Switzerland,1950-06-04,"Warm, dry and sunny",11,0,11,0,0
4,Belgium,1950-06-18,"Warm, dry and sunny",11,0,11,0,0
5,France,1950-07-02,Hot and sunny,11,0,0,0,0
6,Italy,1950-09-03,"Warm, hot and sunny",11,0,0,0,0
7,Switzerland,1951-05-27,"Overcast, rain",0,0,0,11,0
8,USA,1951-05-30,Warm and sunny,11,0,0,0,0
9,Belgium,1951-06-17,"Sunny, Mild, Dry",0,0,11,0,0
10,France,1951-07-01,"Sunny, Hot, Dry",0,0,11,0,0
11,UK,1951-07-14,"Mild, Dry",0,0,11,0,0
12,Germany,1951-07-29,"Sunny, Mild, Dry",0,0,11,0,0
13,Italy,1951-09-16,Warm and sunny,11,0,0,0,0
14,Spain,1951-10-28,"Hot, Dry",0,0,11,0,0
15,Switzerland,1952-05-18,Sunny,11,0,0,0,0
16,USA,1952-05-30,Warm and sunny,11,0,0,0,0
17,Belgium,1952-06-22,Rain,0,0,0,11,0
18,France,1952-07-06,Rain,0,0,0,11,0
19,UK,1952-07-19,"Overcast, dry.",0,0,0,0,0
20,Germany,1952-08-03,Sunny,11,0,0,0,0
21,Netherlands,1952-08-17,Rainy,0,0,0,11,0
22,Italy,1952-09-07,Sunny,11,0,0,0,0
23,Argentina,1953-01-18,"Hot, dry",0,0,11,0,0
24,USA,1953-05-30,Extremely hot,11,0,0,0,0
25,Netherlands,1953-06-07,"Sunny, mild, dry",0,0,11,0,0
26,Belgium,1953-06-21,"Hot, dry",0,0,11,0,0
27,France,1953-07-05,"Hot, dry",0,0,11,0,0
28,UK,1953-07-18,"Overcast, showers",0,0,0,11,0
29,Germany,1953-08-02,"Sunny, mild, dry",0,0,11,0,0
30,Switzerland,1953-08-23,"Sunny, mild, dry",0,0,11,0,0
31,Italy,1953-09-13,"Sunny, mild, dry",0,0,11,0,0
32,Argentina,1954-01-17,"Overcast, wet",0,0,0,11,0
33,USA,1954-05-31,Very hot and sunny,11,0,0,0,0
34,Belgium,1954-06-20,N/A,0,0,0,0,0
35,France,1954-07-04,N/A,0,0,0,0,0
36,UK,1954-07-17,"Cold, wet (heavy rain).[1]",0,0,0,11,0
37,Germany,1954-08-01,"Sunny, dry",0,0,11,0,0
38,Switzerland,1954-08-22,Rain,0,0,0,11,0
39,Italy,1954-09-05,"Sunny, mild, dry",0,0,11,0,0
40,Spain,1954-10-24,"Sunny, mild, dry",0,0,11,0,0
41,Argentina,1955-01-16,Very hot and dry,11,0,11,0,0
42,Monaco,1955-05-22,N/A,0,0,0,0,0
43,USA,1955-05-30,Cool and windy,0,11,0,0,0
44,Belgium,1955-06-05,N/A,0,0,0,0,0
45,Netherlands,1955-06-19,N/A,0,0,0,0,0
46,UK,1955-07-16,"Hot, dry.[1]",0,0,0,0,0
47,Italy,1955-09-11,N/A,0,0,0,0,0
48,Argentina,1956-01-22,Overcast but dry,0,0,11,0,11
49,Monaco,1956-05-13,"Warm, dry, sunny",11,0,0,0,0
50,USA,1956-05-30,"Overcast, dry track",0,0,11,0,0
51,Belgium,1956-06-03,"Wet and overcast, later drying",0,0,0,11,0
52,France,1956-07-01,N/A,0,0,0,0,0
53,UK,1956-07-14,"Overcast, dry",0,0,11,0,0
54,Germany,1956-08-05,N/A,0,0,0,0,0
55,Italy,1956-09-02,"Cloudy, warm, alternating light rain",0,0,0,11,0
56,Argentina,1957-01-13,N/A,0,0,0,0,0
57,Monaco,1957-05-19,N/A,0,0,0,0,0
58,USA,1957-05-30,"Slightly overcast, dry track",0,0,11,0,0
59,France,1957-07-07,N/A,0,0,0,0,0
60,UK,1957-07-20,"Overcast, dry.",0,0,0,0,0
61,Germany,1957-08-04,N/A,0,0,0,0,0
62,Italy,1957-08-18,"Sunny, very hot, dry",0,0,11,0,0
63,Italy,1957-09-08,N/A,0,0,0,0,0
64,Argentina,1958-01-19,N/A,0,0,0,0,0
65,Monaco,1958-05-18,N/A,0,0,0,0,0
66,Netherlands,1958-05-26,N/A,0,0,0,0,0
67,USA,1958-05-30,N/A,0,0,0,0,0
68,Belgium,1958-06-15,"Hot, dry",0,0,11,0,0
69,France,1958-07-06,N/A,0,0,0,0,0
70,UK,1958-07-19,N/A,0,0,0,0,0
71,Germany,1958-08-03,N/A,0,0,0,0,0
72,Portugal,1958-08-24,N/A,0,0,0,0,0
73,Italy,1958-09-07,N/A,0,0,0,0,0
74,Morocco,1958-10-19,"Warm, dry, sunny",11,0,0,0,0
75,Monaco,1959-05-10,"Hot, clear",11,0,0,0,0
76,USA,1959-05-30,N/A,0,0,0,0,0
77,Netherlands,1959-05-31,N/A,0,0,0,0,0
78,France,1959-07-05,"Hot, dry",0,0,11,0,0
79,UK,1959-07-18,Dry and sunny.,0,0,11,0,0
80,Germany,1959-08-02,Dry and dull.,0,0,11,0,0
81,Portugal,1959-08-23,N/A,0,0,0,0,0
82,Italy,1959-09-13,Dry and sunny,11,0,11,0,0
83,USA,1959-12-12,N/A,0,0,0,0,0
84,Argentina,1960-02-07,Dry,0,0,11,0,0
85,Monaco,1960-05-29,N/A,0,0,0,0,0
86,USA,1960-05-30,N/A,0,0,0,0,0
87,Netherlands,1960-06-06,N/A,0,0,0,0,0
88,Belgium,1960-06-19,N/A,0,0,0,0,0
89,France,1960-07-03,Dry,0,0,11,0,0
90,UK,1960-07-16,"Dry, overcast.",0,0,0,0,0
