RaceResult,Race_Num
14,2.0
11,3.0
13,4.0
14,5.0
16,6.0
12,7.0
14,8.0
12,9.0
16,10.0
20,11.0
15,12.0
15,13.0
13,14.0
12,15.0
17,16.0
16,17.0
15,18.0
8,19.0
21,20.0
5,21.0
8,22.0
8,23.0
7,24.0
5,25.0
16,26.0
7,27.0
3,28.0
2,29.0
2,30.0
8,31.0
3,32.0
4,33.0
11,34.0
6,35.0
3,36.0
5,37.0
10,38.0
3,39.0
18,40.0
5,41.0
6,42.0
4,43.0
4,44.0
14,45.0
3,46.0
5,47.0
5,48.0
13,49.0
9,50.0
4,51.0
5,52.0
5,53.0
12,54.0
19,55.0
3,56.0
5,57.0
13,58.0
8,59.0
9,60.0
10,61.0
4,62.0
5,63.0
12,64.0
3,65.0
6,66.0
9,67.0
14,68.0
9,69.0
9,70.0
8,71.0
6,72.0
20,73.0
5,74.0
10,75.0
16,76.0
8,77.0
11,78.0
21,79.0
3,80.0
6,81.0
3,82.0
1,83.0
17,84.0
4,85.0
2,86.0
2,87.0
1,88.0
2,89.0
3,90.0
5,91.0
2,92.0
3,93.0
5,94.0
4,95.0
5,96.0
2,97.0
2,98.0
1,99.0
8,100.0
2,101.0
2,102.0
14,103.0
2,104.0
5,105.0
2,106.0
7,107.0
19,108.0
4,109.0
2,110.0
5,111.0
4,112.0
3,113.0
4,114.0
2,115.0
2,116.0
5,117.0
5,118.0
5,119.0
5,120.0
1,121.0
2,122.0
2,123.0
1,124.0
2,125.0
3,126.0
4,127.0
2,128.0
3,129.0
2,130.0
15,131.0
8,132.0
3,133.0
2,134.0
5,135.0
2,136.0
1,137.0
3,138.0
1,139.0
20,140.0
4,141.0
1,142.0
2,143.0
3,144.0
11,145.0
3,146.0
3,147.0
2,148.0
5,149.0
2,150.0
1,151.0
19,152.0
2,153.0
2,154.0
14,155.0
8,156.0
8,157.0
2,
