RaceResult,Race_Num
15,2.0
18,3.0
15,4.0
20,5.0
16,6.0
13,7.0
18,8.0
21,9.0
24,10.0
6,11.0
3,12.0
4,13.0
24,14.0
2,15.0
20,16.0
6,17.0
18,18.0
3,19.0
24,20.0
7,21.0
19,22.0
7,23.0
9,24.0
19,25.0
7,26.0
21,27.0
10,28.0
6,29.0
9,30.0
3,31.0
22,32.0
17,33.0
13,34.0
19,35.0
3,36.0
6,37.0
8,38.0
8,39.0
21,40.0
3,41.0
3,42.0
3,43.0
4,44.0
2,45.0
22,46.0
15,47.0
11,48.0
12,49.0
21,50.0
8,51.0
8,52.0
15,53.0
14,54.0
12,55.0
21,56.0
21,57.0
20,58.0
16,59.0
13,60.0
15,61.0
17,62.0
11,63.0
17,64.0
13,65.0
14,66.0
11,67.0
7,68.0
7,69.0
8,70.0
12,71.0
10,72.0
15,73.0
17,74.0
7,75.0
3,76.0
19,77.0
13,78.0
7,79.0
17,80.0
18,81.0
10,82.0
8,83.0
9,84.0
6,85.0
5,86.0
19,87.0
8,88.0
18,89.0
13,90.0
14,91.0
13,92.0
7,93.0
20,94.0
14,95.0
13,96.0
13,97.0
11,98.0
22,99.0
21,100.0
11,101.0
10,102.0
20,103.0
22,104.0
11,105.0
20,106.0
11,107.0
8,108.0
19,109.0
10,110.0
8,111.0
10,112.0
13,113.0
6,114.0
13,115.0
19,116.0
7,117.0
15,118.0
9,119.0
13,120.0
9,121.0
14,122.0
15,123.0
15,124.0
11,125.0
16,126.0
13,127.0
17,128.0
15,129.0
18,130.0
15,131.0
12,132.0
11,133.0
4,134.0
16,135.0
6,136.0
10,137.0
7,138.0
20,139.0
15,140.0
11,141.0
8,142.0
17,143.0
16,144.0
8,145.0
9,146.0
18,147.0
20,148.0
11,149.0
18,150.0
10,151.0
10,152.0
14,153.0
20,154.0
16,155.0
19,156.0
7,157.0
20,158.0
13,159.0
16,160.0
11,161.0
20,162.0
13,163.0
17,164.0
15,165.0
13,166.0
15,167.0
16,168.0
13,169.0
16,170.0
16,171.0
16,172.0
19,173.0
15,174.0
12,175.0
12,176.0
17,177.0
9,178.0
17,179.0
14,180.0
18,181.0
20,
