RaceResult,Race_Num
3,2.0
2,3.0
2,4.0
2,5.0
2,6.0
1,7.0
1,8.0
3,9.0
3,10.0
9,11.0
1,12.0
5,13.0
2,14.0
4,15.0
1,16.0
19,17.0
7,18.0
1,19.0
5,20.0
13,21.0
3,22.0
2,23.0
1,24.0
19,25.0
10,26.0
1,27.0
1,28.0
5,29.0
2,30.0
3,31.0
7,32.0
3,33.0
12,34.0
1,35.0
5,36.0
20,37.0
7,38.0
6,39.0
4,40.0
9,41.0
12,42.0
13,43.0
16,44.0
18,45.0
1,46.0
2,47.0
19,48.0
12,49.0
1,50.0
3,51.0
3,52.0
19,53.0
3,54.0
6,55.0
6,56.0
2,57.0
14,58.0
5,59.0
1,60.0
1,61.0
2,62.0
2,63.0
4,64.0
20,65.0
1,66.0
23,67.0
19,68.0
5,69.0
2,70.0
4,71.0
2,72.0
2,73.0
8,74.0
1,75.0
4,76.0
2,77.0
6,78.0
24,79.0
4,80.0
4,81.0
1,82.0
4,83.0
22,84.0
4,85.0
5,86.0
5,87.0
2,88.0
7,89.0
1,90.0
22,91.0
3,92.0
3,93.0
3,94.0
8,95.0
8,96.0
5,97.0
1,98.0
19,99.0
8,100.0
24,101.0
1,102.0
23,103.0
1,104.0
24,105.0
5,106.0
10,107.0
4,108.0
21,109.0
1,110.0
20,111.0
5,112.0
3,113.0
3,114.0
5,115.0
12,116.0
4,117.0
3,118.0
4,119.0
5,120.0
1,121.0
3,122.0
9,123.0
5,124.0
5,125.0
20,126.0
6,127.0
7,128.0
4,129.0
9,130.0
19,131.0
1,132.0
1,133.0
1,134.0
1,135.0
2,136.0
17,137.0
2,138.0
1,139.0
3,140.0
3,141.0
19,142.0
1,143.0
1,144.0
1,145.0
1,146.0
1,147.0
2,148.0
1,149.0
1,150.0
2,151.0
1,152.0
1,153.0
2,154.0
3,155.0
1,156.0
2,157.0
1,158.0
6,159.0
1,160.0
1,161.0
18,162.0
1,163.0
1,164.0
1,165.0
2,166.0
2,167.0
2,168.0
2,169.0
3,170.0
7,171.0
2,172.0
21,173.0
1,174.0
1,175.0
5,176.0
1,177.0
1,178.0
1,179.0
1,180.0
3,181.0
2,182.0
3,183.0
18,184.0
3,185.0
1,186.0
1,187.0
1,188.0
1,189.0
2,190.0
1,191.0
2,192.0
4,193.0
1,194.0
7,195.0
1,196.0
5,197.0
4,198.0
1,199.0
4,200.0
1,201.0
1,202.0
1,203.0
2,204.0
1,205.0
1,206.0
9,207.0
4,208.0
2,209.0
2,210.0
3,211.0
4,212.0
1,213.0
1,214.0
3,215.0
5,216.0
1,217.0
16,218.0
2,219.0
1,220.0
1,221.0
2,222.0
1,223.0
1,224.0
1,225.0
1,226.0
3,227.0
4,228.0
1,229.0
1,230.0
2,231.0
1,232.0
1,233.0
2,234.0
1,235.0
1,236.0
1,237.0
1,238.0
5,239.0
1,240.0
9,241.0
1,242.0
2,243.0
3,244.0
4,245.0
1,246.0
3,247.0
1,248.0
2,249.0
7,250.0
1,251.0
4,252.0
1,253.0
1,254.0
1,255.0
2,256.0
1,257.0
1,258.0
7,259.0
1,260.0
3,261.0
1,262.0
1,263.0
1,264.0
1,265.0
1,266.0
3,
