RaceResult,Race_Num
2,2.0
9,3.0
18,4.0
13,5.0
12,6.0
10,7.0
9,8.0
7,9.0
7,10.0
9,11.0
12,12.0
12,13.0
10,14.0
10,15.0
14,16.0
5,17.0
8,18.0
9,19.0
11,20.0
17,21.0
12,22.0
11,23.0
17,24.0
7,25.0
14,26.0
19,27.0
16,28.0
14,29.0
14,30.0
17,31.0
15,32.0
16,33.0
18,34.0
17,35.0
10,36.0
20,37.0
14,38.0
12,39.0
17,40.0
14,41.0
22,42.0
15,43.0
8,44.0
19,45.0
13,46.0
14,47.0
10,48.0
12,49.0
7,50.0
18,51.0
12,52.0
13,53.0
15,54.0
11,55.0
13,56.0
12,57.0
8,58.0
16,59.0
8,60.0
20,61.0
13,62.0
17,63.0
5,64.0
10,65.0
13,66.0
6,67.0
13,68.0
13,69.0
6,70.0
5,71.0
9,72.0
11,73.0
7,74.0
8,75.0
16,76.0
18,77.0
8,78.0
20,79.0
20,80.0
15,81.0
9,82.0
10,83.0
6,84.0
13,85.0
13,86.0
13,87.0
7,88.0
14,89.0
17,90.0
17,91.0
19,92.0
20,93.0
8,94.0
13,95.0
12,96.0
18,97.0
17,98.0
9,99.0
15,100.0
15,101.0
18,102.0
11,103.0
14,104.0
17,105.0
12,106.0
10,107.0
19,108.0
20,109.0
15,110.0
17,111.0
19,112.0
16,113.0
12,114.0
13,115.0
16,116.0
18,117.0
17,118.0
17,119.0
15,120.0
18,
