RaceResult,Race_Num
9,2.0
10,3.0
11,4.0
10,5.0
14,6.0
19,7.0
16,8.0
22,9.0
9,10.0
20,11.0
14,12.0
9,13.0
11,14.0
14,15.0
11,16.0
14,17.0
15,18.0
11,19.0
20,20.0
16,21.0
9,22.0
19,23.0
9,24.0
10,25.0
4,26.0
9,27.0
12,28.0
6,29.0
2,30.0
4,31.0
10,32.0
6,33.0
13,34.0
5,35.0
13,36.0
4,37.0
7,38.0
10,39.0
22,40.0
7,41.0
3,42.0
15,43.0
10,44.0
20,45.0
12,46.0
22,47.0
22,48.0
10,49.0
16,50.0
15,51.0
14,52.0
19,53.0
9,54.0
14,55.0
13,56.0
11,57.0
18,58.0
13,59.0
19,60.0
9,61.0
17,62.0
12,63.0
12,64.0
9,65.0
14,66.0
17,67.0
19,68.0
16,69.0
15,70.0
11,71.0
12,72.0
12,73.0
16,74.0
10,75.0
10,76.0
12,77.0
19,78.0
19,79.0
9,80.0
7,81.0
10,82.0
14,83.0
17,84.0
9,85.0
3,86.0
15,87.0
7,88.0
19,89.0
15,90.0
12,91.0
10,92.0
11,93.0
12,94.0
10,95.0
9,96.0
12,97.0
10,98.0
12,99.0
18,100.0
10,101.0
12,102.0
11,103.0
9,104.0
7,105.0
8,106.0
15,107.0
19,108.0
4,109.0
12,110.0
11,111.0
7,112.0
11,
