RaceResult,Race_Num
13,2.0
7,3.0
17,4.0
18,5.0
11,6.0
18,7.0
15,8.0
8,9.0
16,10.0
4,11.0
8,12.0
12,13.0
8,14.0
9,15.0
10,16.0
4,17.0
9,18.0
9,19.0
16,20.0
10,21.0
6,22.0
8,23.0
19,24.0
1,25.0
18,26.0
4,27.0
8,28.0
2,29.0
2,30.0
5,31.0
3,32.0
11,33.0
7,34.0
6,35.0
2,36.0
2,37.0
20,38.0
4,39.0
3,40.0
4,41.0
5,42.0
3,43.0
18,44.0
5,45.0
19,46.0
5,47.0
18,48.0
18,49.0
20,50.0
4,51.0
5,52.0
19,53.0
10,54.0
19,55.0
1,56.0
2,57.0
4,58.0
1,59.0
5,60.0
5,61.0
6,62.0
19,63.0
5,64.0
16,65.0
3,66.0
9,67.0
3,68.0
2,69.0
1,70.0
15,71.0
4,72.0
19,73.0
3,74.0
5,75.0
2,76.0
5,77.0
3,78.0
2,79.0
1,80.0
2,81.0
3,82.0
3,83.0
4,84.0
4,85.0
4,86.0
3,87.0
4,88.0
5,89.0
4,90.0
1,91.0
5,92.0
1,93.0
2,94.0
20,95.0
8,96.0
3,97.0
4,98.0
18,99.0
6,100.0
3,101.0
1,102.0
2,103.0
20,104.0
3,105.0
2,106.0
2,107.0
1,108.0
2,109.0
3,110.0
17,111.0
19,112.0
2,113.0
2,114.0
3,115.0
17,116.0
6,117.0
2,118.0
19,119.0
1,
