RaceResult,Race_Num
16,2.0
18,3.0
18,4.0
16,5.0
21,6.0
18,7.0
21,8.0
12,9.0
13,10.0
10,11.0
10,12.0
10,13.0
7,14.0
5,15.0
12,16.0
6,17.0
6,18.0
8,19.0
8,20.0
9,21.0
9,22.0
6,23.0
10,24.0
10,25.0
6,26.0
6,27.0
5,28.0
18,29.0
8,30.0
12,31.0
10,32.0
11,33.0
19,34.0
16,35.0
6,36.0
9,37.0
19,38.0
6,39.0
7,40.0
8,41.0
13,42.0
6,43.0
6,44.0
20,45.0
9,46.0
9,47.0
19,48.0
11,49.0
15,50.0
17,51.0
8,52.0
18,53.0
14,54.0
6,55.0
8,56.0
13,57.0
5,58.0
8,59.0
14,60.0
7,61.0
18,62.0
8,63.0
19,64.0
11,65.0
9,66.0
2,67.0
9,
