RaceResult,Race_Num
22,2.0
21,3.0
17,4.0
14,5.0
9,6.0
24,7.0
11,8.0
7,9.0
11,10.0
15,11.0
20,12.0
17,13.0
10,14.0
8,15.0
16,16.0
10,17.0
11,18.0
13,19.0
8,20.0
2,21.0
11,22.0
11,23.0
20,24.0
11,25.0
3,26.0
9,27.0
22,28.0
6,29.0
14,30.0
21,31.0
2,32.0
10,33.0
22,34.0
11,35.0
24,36.0
15,37.0
11,38.0
24,39.0
11,40.0
9,41.0
11,42.0
6,43.0
9,44.0
16,45.0
11,46.0
20,47.0
8,48.0
9,49.0
11,50.0
12,51.0
8,52.0
10,53.0
15,54.0
5,55.0
9,56.0
7,57.0
6,58.0
10,59.0
22,60.0
3,61.0
9,62.0
9,63.0
21,64.0
11,65.0
6,66.0
11,67.0
10,68.0
19,69.0
8,70.0
7,71.0
7,72.0
10,73.0
10,74.0
17,75.0
15,76.0
7,77.0
10,78.0
13,79.0
11,80.0
8,81.0
13,82.0
7,83.0
11,84.0
9,85.0
9,86.0
19,87.0
5,88.0
6,89.0
7,90.0
12,91.0
3,92.0
5,93.0
8,94.0
12,95.0
5,96.0
13,97.0
16,98.0
11,99.0
9,100.0
7,101.0
3,102.0
10,103.0
3,104.0
17,105.0
6,106.0
11,107.0
10,108.0
5,109.0
8,110.0
8,111.0
6,112.0
7,113.0
8,114.0
10,115.0
4,116.0
8,117.0
7,118.0
9,119.0
7,120.0
6,121.0
4,122.0
13,123.0
5,124.0
15,125.0
7,126.0
9,127.0
8,128.0
17,129.0
9,130.0
5,131.0
6,132.0
7,133.0
8,134.0
7,135.0
9,136.0
7,137.0
11,138.0
16,139.0
12,140.0
3,141.0
9,142.0
12,143.0
14,144.0
18,145.0
7,146.0
10,147.0
7,148.0
14,149.0
5,150.0
7,151.0
16,152.0
10,153.0
7,154.0
8,155.0
18,156.0
10,157.0
8,158.0
13,159.0
10,160.0
8,161.0
6,162.0
15,163.0
12,164.0
12,165.0
12,166.0
11,167.0
17,168.0
20,169.0
11,170.0
6,171.0
7,172.0
19,173.0
7,174.0
8,175.0
7,176.0
10,177.0
9,178.0
7,179.0
6,180.0
6,181.0
7,182.0
5,183.0
10,184.0
10,185.0
5,186.0
4,187.0
4,188.0
7,189.0
6,190.0
2,191.0
18,192.0
1,193.0
20,
