RaceResult,Race_Num
6,2.0
22,3.0
12,4.0
20,5.0
8,6.0
4,7.0
10,8.0
4,9.0
10,10.0
7,11.0
5,12.0
17,13.0
7,14.0
19,15.0
7,16.0
22,17.0
21,18.0
3,19.0
18,20.0
12,21.0
14,22.0
18,23.0
20,24.0
19,25.0
4,26.0
3,27.0
14,28.0
2,29.0
11,30.0
4,31.0
16,32.0
15,33.0
17,34.0
3,35.0
3,36.0
1,37.0
2,38.0
2,39.0
20,40.0
2,41.0
2,42.0
6,43.0
20,44.0
4,45.0
3,46.0
19,47.0
2,48.0
4,49.0
2,50.0
2,51.0
20,52.0
17,53.0
20,54.0
8,55.0
11,56.0
13,57.0
18,58.0
5,59.0
6,60.0
7,61.0
2,62.0
20,63.0
20,64.0
1,65.0
19,66.0
3,67.0
6,68.0
2,69.0
8,70.0
9,71.0
3,72.0
16,73.0
1,74.0
1,75.0
11,76.0
1,77.0
8,78.0
2,79.0
3,80.0
20,81.0
1,82.0
1,83.0
4,84.0
1,85.0
2,86.0
1,87.0
2,88.0
3,89.0
22,90.0
2,91.0
5,92.0
4,93.0
5,94.0
20,95.0
3,96.0
3,97.0
16,98.0
5,99.0
3,100.0
15,101.0
21,102.0
2,103.0
21,104.0
5,105.0
5,106.0
1,107.0
3,108.0
3,109.0
19,110.0
8,111.0
5,112.0
4,113.0
1,114.0
1,115.0
14,116.0
2,117.0
2,118.0
3,119.0
1,120.0
3,121.0
1,122.0
1,123.0
8,124.0
1,125.0
2,126.0
1,127.0
3,128.0
9,129.0
18,130.0
2,131.0
4,132.0
6,133.0
3,134.0
18,135.0
18,136.0
9,137.0
15,138.0
3,139.0
3,140.0
3,141.0
15,142.0
14,143.0
10,144.0
6,145.0
15,146.0
3,147.0
9,148.0
8,149.0
19,150.0
2,151.0
3,152.0
1,153.0
3,154.0
10,155.0
4,156.0
6,157.0
12,158.0
7,159.0
5,160.0
14,161.0
2,162.0
3,163.0
9,164.0
8,165.0
2,166.0
5,167.0
3,168.0
2,169.0
3,170.0
5,171.0
6,172.0
6,173.0
5,174.0
7,175.0
1,176.0
6,177.0
10,178.0
1,179.0
7,180.0
2,181.0
2,182.0
2,183.0
10,184.0
9,185.0
5,186.0
2,187.0
2,188.0
21,189.0
11,190.0
3,191.0
2,192.0
5,193.0
7,194.0
22,195.0
7,196.0
12,197.0
10,198.0
8,199.0
7,200.0
12,201.0
10,202.0
10,203.0
22,204.0
11,205.0
6,206.0
4,207.0
9,208.0
8,209.0
12,210.0
9,211.0
13,212.0
7,213.0
10,214.0
12,215.0
4,216.0
4,217.0
2,218.0
5,219.0
6,220.0
4,221.0
19,222.0
8,223.0
18,224.0
7,225.0
5,226.0
3,227.0
4,228.0
8,229.0
16,230.0
19,231.0
4,232.0
3,233.0
18,234.0
2,235.0
5,236.0
3,237.0
2,238.0
21,239.0
6,240.0
4,241.0
3,242.0
5,243.0
6,244.0
6,245.0
9,246.0
4,247.0
4,248.0
4,249.0
5,250.0
19,251.0
6,252.0
20,253.0
6,254.0
4,255.0
5,256.0
4,257.0
3,258.0
20,259.0
2,260.0
7,261.0
14,262.0
5,263.0
3,264.0
2,265.0
4,266.0
5,267.0
20,268.0
20,269.0
5,270.0
3,271.0
3,272.0
3,273.0
4,274.0
3,275.0
18,276.0
3,277.0
2,278.0
17,279.0
4,280.0
6,281.0
3,282.0
2,283.0
3,284.0
3,285.0
3,286.0
17,287.0
2,288.0
5,289.0
4,290.0
5,291.0
1,292.0
3,293.0
3,294.0
19,295.0
8,296.0
7,297.0
9,298.0
10,299.0
14,300.0
17,301.0
15,302.0
7,303.0
9,304.0
8,305.0
12,306.0
7,307.0
16,308.0
15,309.0
18,310.0
13,311.0
12,312.0
19,313.0
11,314.0
4,315.0
13,316.0
14,317.0
11,318.0
15,319.0
17,320.0
15,321.0
14,322.0
12,323.0
13,324.0
9,325.0
14,326.0
12,327.0
11,328.0
9,329.0
15,330.0
15,331.0
14,332.0
12,
