RaceResult,Race_Num
19,2.0
19,3.0
18,4.0
21,5.0
16,6.0
19,7.0
22,8.0
19,9.0
18,10.0
21,11.0
20,12.0
9,13.0
12,14.0
17,15.0
15,16.0
13,17.0
17,18.0
14,19.0
11,20.0
13,21.0
13,22.0
15,23.0
9,24.0
12,25.0
9,26.0
10,27.0
9,28.0
13,29.0
10,30.0
12,31.0
13,32.0
19,33.0
18,34.0
7,35.0
16,36.0
10,37.0
18,38.0
15,39.0
8,40.0
12,41.0
13,42.0
10,43.0
7,44.0
22,45.0
19,46.0
13,47.0
10,48.0
16,49.0
11,50.0
10,51.0
22,52.0
16,53.0
4,54.0
4,55.0
3,56.0
3,57.0
1,58.0
8,59.0
3,60.0
6,61.0
1,62.0
1,63.0
5,64.0
3,65.0
4,66.0
7,67.0
3,68.0
18,69.0
4,70.0
6,71.0
10,72.0
9,73.0
6,74.0
7,75.0
5,76.0
13,77.0
10,78.0
15,79.0
3,80.0
18,81.0
8,82.0
2,83.0
15,84.0
15,85.0
10,86.0
5,87.0
11,88.0
6,89.0
4,90.0
4,91.0
4,92.0
11,93.0
4,94.0
2,95.0
7,96.0
7,97.0
5,98.0
4,99.0
3,100.0
2,101.0
2,102.0
5,103.0
2,104.0
1,105.0
6,106.0
3,107.0
3,108.0
8,109.0
5,110.0
17,111.0
4,112.0
5,113.0
17,114.0
3,115.0
3,116.0
3,117.0
1,118.0
3,119.0
5,120.0
20,121.0
3,122.0
4,123.0
2,124.0
3,125.0
3,126.0
18,127.0
20,128.0
6,129.0
20,130.0
4,131.0
20,132.0
1,133.0
17,134.0
5,135.0
1,136.0
4,137.0
4,138.0
18,139.0
5,140.0
20,141.0
4,142.0
16,143.0
17,144.0
6,145.0
6,146.0
4,147.0
16,148.0
17,149.0
4,150.0
4,151.0
19,152.0
18,153.0
7,154.0
20,155.0
12,156.0
9,157.0
6,158.0
11,159.0
12,160.0
7,161.0
19,162.0
14,163.0
14,164.0
4,165.0
14,166.0
19,167.0
19,168.0
8,169.0
6,170.0
6,171.0
11,172.0
19,173.0
8,174.0
8,175.0
4,176.0
14,177.0
11,178.0
4,179.0
6,180.0
4,181.0
5,182.0
3,183.0
9,184.0
3,185.0
10,186.0
7,187.0
5,188.0
7,
