RaceResult,Race_Num
9,2.0
8,3.0
13,4.0
19,5.0
9,6.0
10,7.0
12,8.0
16,9.0
14,10.0
17,11.0
17,12.0
11,13.0
9,14.0
10,15.0
16,16.0
7,17.0
13,18.0
19,19.0
11,20.0
9,21.0
18,22.0
9,23.0
12,24.0
6,25.0
8,26.0
9,27.0
21,28.0
8,29.0
8,30.0
8,31.0
14,32.0
20,33.0
15,34.0
14,35.0
11,36.0
17,37.0
6,38.0
16,39.0
6,40.0
18,41.0
8,42.0
7,43.0
16,44.0
10,45.0
7,46.0
6,47.0
20,48.0
8,49.0
17,50.0
19,51.0
7,52.0
10,53.0
14,54.0
4,55.0
19,56.0
20,57.0
7,58.0
16,59.0
11,60.0
19,61.0
10,62.0
11,63.0
9,64.0
5,65.0
7,66.0
10,67.0
8,68.0
8,69.0
12,70.0
17,71.0
12,72.0
9,73.0
11,74.0
8,75.0
8,76.0
17,77.0
10,78.0
7,79.0
19,80.0
12,81.0
6,82.0
20,83.0
19,84.0
14,85.0
7,86.0
8,87.0
6,88.0
11,89.0
6,90.0
8,91.0
6,92.0
5,93.0
5,94.0
19,95.0
20,96.0
12,97.0
6,98.0
5,99.0
13,100.0
8,101.0
3,102.0
10,103.0
5,104.0
9,105.0
9,106.0
13,107.0
13,108.0
6,109.0
20,110.0
2,111.0
18,112.0
19,113.0
5,114.0
6,115.0
7,116.0
5,117.0
5,118.0
4,119.0
6,
