RaceResult,Race_Num
16,2.0
20,3.0
17,4.0
11,5.0
16,6.0
15,7.0
9,8.0
3,9.0
10,10.0
16,11.0
14,12.0
11,13.0
7,14.0
8,15.0
8,16.0
16,17.0
11,18.0
6,19.0
16,20.0
18,21.0
14,22.0
14,23.0
14,24.0
8,25.0
11,26.0
17,27.0
20,28.0
17,29.0
14,30.0
12,31.0
17,32.0
17,33.0
13,34.0
9,35.0
14,36.0
15,37.0
17,38.0
14,39.0
12,40.0
18,41.0
13,42.0
9,43.0
14,44.0
12,45.0
9,46.0
19,47.0
16,48.0
9,49.0
13,50.0
14,51.0
13,52.0
4,53.0
17,54.0
10,55.0
12,56.0
13,57.0
11,58.0
9,59.0
12,60.0
13,61.0
19,62.0
20,63.0
18,64.0
7,65.0
4,66.0
9,67.0
6,68.0
4,69.0
9,70.0
3,71.0
13,72.0
20,73.0
20,74.0
13,75.0
9,76.0
19,77.0
3,78.0
10,
