RaceResult,Race_Num
8,2.0
16,3.0
19,4.0
18,5.0
21,6.0
19,7.0
4,8.0
18,9.0
20,10.0
18,11.0
22,12.0
22,13.0
17,14.0
5,15.0
8,16.0
12,17.0
19,18.0
8,19.0
20,20.0
6,21.0
5,22.0
1,23.0
5,24.0
6,25.0
9,26.0
4,27.0
13,28.0
15,29.0
1,30.0
2,31.0
4,32.0
18,33.0
3,34.0
1,35.0
2,36.0
17,37.0
20,38.0
3,39.0
8,40.0
4,41.0
1,42.0
4,43.0
1,44.0
4,45.0
17,46.0
1,47.0
6,48.0
3,49.0
2,50.0
22,51.0
4,52.0
1,53.0
7,54.0
3,55.0
3,56.0
15,57.0
4,58.0
2,59.0
1,60.0
17,61.0
1,62.0
1,63.0
1,64.0
1,65.0
2,66.0
1,67.0
1,68.0
1,69.0
2,70.0
1,71.0
2,72.0
4,73.0
2,74.0
1,75.0
1,76.0
1,77.0
3,78.0
1,79.0
1,80.0
24,81.0
2,82.0
2,83.0
11,84.0
5,85.0
1,86.0
6,87.0
4,88.0
4,89.0
21,90.0
3,91.0
5,92.0
4,93.0
2,94.0
22,95.0
1,96.0
1,97.0
1,98.0
1,99.0
3,100.0
2,101.0
6,102.0
3,103.0
1,104.0
4,105.0
1,106.0
4,107.0
2,108.0
1,109.0
21,110.0
1,111.0
3,112.0
1,113.0
1,114.0
1,115.0
1,116.0
1,117.0
1,118.0
1,119.0
1,120.0
1,121.0
18,122.0
3,123.0
6,124.0
5,125.0
4,126.0
20,127.0
3,128.0
21,129.0
5,130.0
4,131.0
7,132.0
5,133.0
6,134.0
2,135.0
3,136.0
8,137.0
7,138.0
5,139.0
8,140.0
3,141.0
1,142.0
3,143.0
5,144.0
3,145.0
2,146.0
5,147.0
4,148.0
3,149.0
1,150.0
12,151.0
2,152.0
1,153.0
3,154.0
2,155.0
3,156.0
18,157.0
3,158.0
4,159.0
3,160.0
21,161.0
2,162.0
20,163.0
3,164.0
4,165.0
2,166.0
2,167.0
21,168.0
9,169.0
4,170.0
5,171.0
6,172.0
3,173.0
5,174.0
22,175.0
4,176.0
4,177.0
5,178.0
5,179.0
3,180.0
1,181.0
2,182.0
1,183.0
2,184.0
2,185.0
1,186.0
4,187.0
4,188.0
2,189.0
7,190.0
1,191.0
2,192.0
3,193.0
18,194.0
4,195.0
19,196.0
2,197.0
4,198.0
1,199.0
3,200.0
1,201.0
1,202.0
8,203.0
4,204.0
4,205.0
2,206.0
1,207.0
5,208.0
3,209.0
1,210.0
18,211.0
2,212.0
1,213.0
4,214.0
3,215.0
3,216.0
6,217.0
4,218.0
2,219.0
6,220.0
2,221.0
4,222.0
5,223.0
3,224.0
3,225.0
4,226.0
2,227.0
2,228.0
5,229.0
4,230.0
16,231.0
2,232.0
3,233.0
4,234.0
13,235.0
1,236.0
18,237.0
2,238.0
2,239.0
20,240.0
17,241.0
5,242.0
10,243.0
20,244.0
6,245.0
10,246.0
12,247.0
7,248.0
13,249.0
20,250.0
10,251.0
13,252.0
11,253.0
10,254.0
12,255.0
3,256.0
13,257.0
12,258.0
14,
