RaceResult,Race_Num
1,2.0
2,3.0
3,4.0
12,5.0
1,6.0
11,7.0
12,8.0
1,9.0
2,10.0
12,11.0
1,12.0
2,13.0
4,14.0
1,15.0
2,16.0
7,17.0
1,18.0
3,19.0
13,20.0
13,21.0
15,22.0
23,23.0
1,24.0
3,25.0
4,26.0
5,27.0
1,28.0
9,29.0
11,30.0
1,31.0
1,32.0
5,33.0
10,34.0
11,35.0
11,36.0
2,37.0
4,38.0
6,39.0
14,40.0
2,41.0
14,42.0
16,43.0
18,44.0
3,45.0
3,46.0
10,47.0
16,48.0
18,49.0
1,50.0
3,51.0
5,52.0
6,53.0
15,54.0
10,55.0
19,56.0
17,57.0
12,58.0
19,59.0
12,60.0
24,61.0
25,62.0
5,63.0
8,64.0
13,65.0
17,66.0
14,67.0
18,68.0
13,69.0
16,70.0
16,71.0
21,72.0
13,73.0
17,74.0
17,75.0
20,76.0
18,77.0
21,78.0
5,79.0
19,80.0
13,81.0
17,82.0
23,83.0
24,84.0
18,85.0
21,86.0
16,87.0
24,88.0
4,89.0
13,90.0
15,91.0
23,92.0
8,93.0
10,94.0
18,95.0
20,96.0
9,97.0
10,98.0
11,99.0
20,100.0
8,101.0
10,102.0
8,103.0
15,104.0
12,105.0
19,106.0
9,107.0
15,108.0
12,109.0
17,110.0
11,111.0
16,112.0
8,113.0
11,114.0
4,115.0
7,116.0
3,117.0
16,118.0
11,119.0
13,120.0
22,121.0
24,122.0
13,123.0
24,124.0
9,125.0
12,126.0
17,127.0
25,128.0
3,129.0
20,130.0
16,131.0
21,132.0
6,133.0
22,134.0
11,135.0
19,136.0
7,137.0
11,138.0
9,139.0
17,140.0
5,141.0
21,142.0
25,143.0
26,144.0
10,145.0
12,146.0
10,147.0
15,148.0
9,149.0
10,150.0
21,151.0
27,152.0
16,153.0
21,154.0
12,155.0
18,156.0
10,157.0
14,158.0
6,159.0
15,160.0
17,161.0
25,162.0
12,163.0
16,164.0
10,165.0
16,166.0
7,167.0
8,168.0
2,169.0
18,170.0
15,171.0
20,172.0
5,173.0
25,174.0
23,175.0
26,176.0
4,177.0
21,178.0
2,179.0
23,180.0
4,181.0
12,182.0
4,183.0
26,184.0
18,185.0
25,186.0
7,187.0
22,188.0
18,189.0
22,190.0
10,191.0
23,192.0
11,193.0
20,194.0
18,195.0
20,196.0
21,197.0
24,198.0
12,199.0
25,200.0
12,201.0
15,202.0
10,203.0
19,204.0
13,205.0
18,206.0
3,207.0
9,208.0
6,209.0
16,210.0
8,211.0
17,212.0
16,213.0
20,214.0
12,215.0
23,216.0
12,217.0
25,218.0
13,219.0
17,220.0
10,221.0
17,222.0
9,223.0
18,224.0
10,225.0
11,226.0
9,227.0
20,228.0
13,229.0
23,230.0
20,231.0
24,232.0
25,233.0
26,234.0
17,235.0
23,236.0
15,237.0
16,238.0
9,239.0
11,240.0
19,241.0
20,242.0
15,243.0
24,244.0
8,245.0
15,246.0
7,247.0
11,248.0
9,249.0
15,250.0
10,251.0
12,252.0
14,253.0
16,254.0
17,255.0
19,256.0
13,257.0
15,258.0
7,259.0
16,260.0
9,261.0
10,262.0
8,263.0
18,264.0
12,265.0
13,266.0
7,267.0
18,268.0
16,269.0
18,270.0
9,271.0
15,272.0
10,273.0
18,274.0
13,275.0
15,276.0
12,277.0
14,278.0
14,279.0
19,280.0
11,281.0
14,282.0
4,283.0
5,284.0
13,285.0
16,286.0
9,287.0
14,288.0
11,289.0
14,290.0
15,291.0
17,292.0
14,293.0
17,294.0
15,295.0
17,296.0
14,297.0
16,298.0
12,299.0
18,300.0
13,301.0
16,302.0
9,303.0
17,304.0
11,305.0
14,306.0
10,307.0
12,308.0
11,309.0
15,310.0
9,311.0
10,312.0
15,313.0
20,314.0
15,315.0
16,316.0
13,317.0
14,318.0
12,319.0
16,
