RaceResult,Race_Num
11,2.0
13,3.0
11,4.0
16,5.0
9,6.0
16,7.0
14,8.0
15,9.0
11,10.0
22,11.0
15,12.0
19,13.0
10,14.0
13,15.0
13,16.0
20,17.0
10,18.0
13,19.0
8,20.0
20,21.0
10,22.0
13,23.0
10,24.0
12,25.0
11,26.0
16,27.0
13,28.0
20,29.0
13,30.0
14,31.0
10,32.0
14,33.0
14,34.0
18,35.0
11,36.0
13,37.0
14,38.0
21,39.0
14,40.0
17,41.0
20,42.0
22,43.0
17,44.0
18,45.0
9,46.0
22,47.0
14,48.0
19,49.0
13,50.0
17,51.0
18,52.0
22,53.0
16,54.0
19,55.0
21,56.0
22,57.0
16,58.0
19,59.0
15,60.0
19,61.0
17,62.0
18,63.0
12,64.0
21,65.0
9,66.0
19,67.0
4,68.0
6,69.0
13,70.0
18,71.0
7,72.0
20,73.0
18,74.0
22,75.0
15,76.0
22,77.0
19,78.0
22,79.0
17,80.0
18,81.0
5,82.0
20,83.0
8,84.0
13,85.0
12,86.0
17,87.0
11,88.0
19,89.0
8,90.0
12,91.0
18,92.0
20,93.0
6,94.0
10,95.0
5,96.0
7,97.0
1,98.0
18,99.0
5,100.0
12,101.0
6,102.0
10,103.0
9,104.0
13,105.0
4,106.0
14,107.0
7,108.0
8,109.0
10,110.0
16,111.0
8,112.0
11,113.0
13,114.0
17,115.0
18,116.0
19,117.0
8,118.0
20,119.0
15,120.0
18,121.0
18,122.0
19,123.0
16,124.0
20,125.0
15,126.0
16,127.0
16,128.0
19,129.0
12,130.0
20,131.0
13,132.0
18,133.0
15,134.0
16,135.0
18,136.0
19,137.0
7,138.0
14,139.0
8,140.0
20,141.0
13,142.0
16,143.0
11,144.0
21,145.0
9,146.0
11,147.0
13,148.0
21,149.0
10,150.0
20,151.0
10,152.0
11,153.0
12,154.0
16,155.0
8,156.0
12,157.0
9,158.0
13,159.0
12,160.0
21,161.0
15,162.0
24,163.0
12,164.0
24,165.0
12,166.0
13,167.0
11,168.0
15,169.0
12,170.0
14,171.0
10,172.0
11,173.0
11,174.0
20,175.0
11,176.0
13,177.0
9,178.0
15,179.0
8,180.0
11,181.0
13,182.0
14,183.0
14,184.0
24,185.0
9,186.0
16,187.0
14,188.0
16,189.0
10,190.0
20,191.0
8,192.0
10,193.0
8,194.0
13,195.0
10,196.0
21,197.0
12,198.0
15,199.0
8,200.0
10,201.0
23,202.0
24,203.0
7,204.0
10,205.0
12,206.0
21,207.0
15,208.0
24,209.0
7,210.0
9,211.0
8,212.0
21,213.0
15,214.0
22,215.0
11,216.0
12,217.0
9,218.0
11,219.0
8,220.0
12,221.0
16,222.0
17,223.0
14,224.0
15,225.0
12,226.0
13,227.0
12,228.0
17,229.0
14,230.0
15,231.0
11,232.0
23,233.0
13,234.0
14,235.0
13,236.0
14,237.0
15,238.0
16,239.0
8,240.0
9,241.0
12,242.0
24,243.0
9,244.0
20,245.0
10,246.0
13,247.0
8,248.0
9,249.0
13,250.0
15,251.0
10,252.0
12,253.0
12,254.0
24,255.0
8,256.0
13,257.0
12,258.0
19,259.0
10,260.0
18,261.0
7,262.0
12,263.0
16,264.0
22,265.0
10,266.0
20,267.0
8,268.0
18,269.0
6,270.0
15,271.0
8,272.0
22,273.0
12,274.0
20,275.0
12,276.0
13,277.0
10,278.0
12,279.0
7,280.0
21,281.0
14,282.0
22,283.0
18,284.0
19,285.0
12,286.0
13,287.0
10,288.0
13,289.0
16,290.0
17,291.0
11,292.0
12,293.0
10,294.0
