RaceResult,Race_Num
2,2.0
4,3.0
8,4.0
20,5.0
15,6.0
16,7.0
17,8.0
5,9.0
6,10.0
3,11.0
2,12.0
2,13.0
7,14.0
17,15.0
18,16.0
2,17.0
6,18.0
11,19.0
15,20.0
19,21.0
2,22.0
3,23.0
12,24.0
2,25.0
2,26.0
3,27.0
4,28.0
18,29.0
23,30.0
1,31.0
3,32.0
9,33.0
16,34.0
1,35.0
3,36.0
4,37.0
5,38.0
6,39.0
1,40.0
2,41.0
4,42.0
5,43.0
19,44.0
20,45.0
2,46.0
4,47.0
11,48.0
14,49.0
1,50.0
2,51.0
7,52.0
10,53.0
10,54.0
15,55.0
20,56.0
1,57.0
2,58.0
7,59.0
17,60.0
20,61.0
1,62.0
2,63.0
3,64.0
11,65.0
11,66.0
12,67.0
17,68.0
20,69.0
1,70.0
2,71.0
6,72.0
8,73.0
10,74.0
13,75.0
30,76.0
1,77.0
2,78.0
3,79.0
4,80.0
6,81.0
21,82.0
29,83.0
1,84.0
2,85.0
3,86.0
14,87.0
1,88.0
3,89.0
4,90.0
6,91.0
7,92.0
10,93.0
23,94.0
25,95.0
29,96.0
1,97.0
2,98.0
4,99.0
13,100.0
1,101.0
2,102.0
4,103.0
7,104.0
10,105.0
1,106.0
2,107.0
6,108.0
8,109.0
14,110.0
1,111.0
4,112.0
5,113.0
6,114.0
8,115.0
1,116.0
3,117.0
5,118.0
10,119.0
13,120.0
1,121.0
3,122.0
7,123.0
8,124.0
8,125.0
10,126.0
17,127.0
17,128.0
28,129.0
1,130.0
2,131.0
3,132.0
6,133.0
8,134.0
17,135.0
19,136.0
20,137.0
2,138.0
3,139.0
4,140.0
8,141.0
16,142.0
17,143.0
24,144.0
2,145.0
3,146.0
4,147.0
9,148.0
11,149.0
16,150.0
2,151.0
4,152.0
4,153.0
8,154.0
12,155.0
13,156.0
3,157.0
8,158.0
9,159.0
16,160.0
19,161.0
1,162.0
2,163.0
5,164.0
23,165.0
27,166.0
2,167.0
2,168.0
3,169.0
6,170.0
8,171.0
9,172.0
17,173.0
2,174.0
7,175.0
8,176.0
10,177.0
11,178.0
17,179.0
2,180.0
3,181.0
3,182.0
5,183.0
12,184.0
17,185.0
