RaceResult,Race_Num
6,2.0
20,3.0
5,4.0
19,5.0
14,6.0
19,7.0
8,8.0
17,9.0
11,10.0
18,11.0
11,12.0
13,13.0
13,14.0
14,15.0
13,16.0
16,17.0
7,18.0
11,19.0
16,20.0
20,21.0
13,22.0
14,23.0
11,24.0
13,25.0
12,26.0
13,27.0
11,28.0
13,29.0
11,30.0
22,31.0
19,32.0
21,33.0
11,34.0
20,35.0
10,36.0
21,37.0
19,38.0
20,39.0
17,40.0
22,41.0
11,42.0
12,43.0
15,44.0
20,45.0
8,46.0
11,47.0
8,48.0
19,49.0
13,50.0
19,51.0
10,52.0
14,53.0
8,54.0
10,55.0
10,56.0
12,57.0
7,58.0
13,59.0
6,60.0
18,61.0
12,62.0
13,63.0
13,64.0
19,65.0
7,66.0
15,67.0
11,68.0
15,69.0
9,70.0
13,71.0
12,72.0
13,73.0
8,74.0
9,75.0
14,76.0
16,77.0
8,78.0
15,79.0
15,80.0
20,81.0
11,82.0
13,83.0
16,84.0
17,85.0
5,86.0
13,87.0
10,88.0
17,89.0
13,90.0
15,91.0
6,92.0
18,93.0
13,94.0
15,95.0
12,96.0
13,97.0
6,98.0
11,99.0
4,100.0
5,101.0
9,102.0
16,103.0
6,104.0
11,105.0
7,106.0
10,107.0
7,108.0
8,109.0
16,110.0
20,111.0
15,112.0
18,113.0
8,114.0
11,115.0
8,116.0
20,117.0
17,118.0
20,119.0
15,120.0
16,121.0
8,122.0
9,123.0
9,124.0
10,125.0
6,126.0
18,127.0
13,128.0
20,129.0
11,130.0
13,131.0
13,132.0
18,133.0
7,134.0
10,135.0
10,136.0
14,137.0
14,138.0
17,139.0
17,140.0
20,141.0
16,142.0
19,143.0
19,144.0
20,145.0
7,146.0
8,147.0
13,148.0
20,149.0
12,150.0
13,151.0
16,152.0
18,153.0
11,154.0
17,155.0
9,156.0
20,157.0
13,158.0
15,159.0
15,160.0
17,161.0
15,162.0
18,163.0
11,164.0
13,165.0
14,166.0
15,167.0
16,168.0
17,169.0
12,170.0
13,171.0
10,172.0
16,173.0
16,174.0
19,175.0
16,176.0
20,177.0
15,178.0
19,179.0
15,180.0
17,181.0
12,182.0
19,183.0
12,184.0
16,185.0
12,186.0
17,187.0
9,188.0
13,189.0
16,190.0
17,191.0
14,192.0
18,193.0
17,194.0
18,195.0
17,196.0
20,197.0
15,198.0
17,199.0
18,200.0
19,
