RaceResult,Race_Num
13,2.0
8,3.0
6,4.0
23,5.0
24,6.0
5,7.0
8,8.0
4,9.0
15,10.0
12,11.0
15,12.0
9,13.0
21,14.0
15,15.0
19,16.0
24,17.0
17,18.0
18,19.0
23,20.0
9,21.0
21,22.0
22,23.0
7,24.0
10,25.0
3,26.0
4,27.0
10,28.0
16,29.0
22,30.0
2,31.0
15,32.0
1,33.0
3,34.0
5,35.0
16,36.0
5,37.0
15,38.0
3,39.0
7,40.0
7,41.0
9,42.0
3,43.0
5,44.0
5,45.0
19,46.0
2,47.0
3,48.0
3,49.0
4,50.0
2,51.0
3,52.0
3,53.0
9,54.0
18,55.0
5,56.0
8,57.0
3,58.0
20,59.0
2,60.0
5,61.0
9,62.0
4,63.0
6,64.0
7,65.0
16,66.0
5,67.0
6,68.0
1,69.0
7,70.0
8,71.0
17,72.0
1,73.0
3,74.0
19,75.0
4,76.0
15,77.0
3,78.0
9,79.0
12,80.0
8,81.0
22,82.0
3,83.0
15,84.0
1,85.0
13,86.0
22,87.0
4,88.0
5,89.0
18,90.0
1,91.0
4,92.0
10,93.0
1,94.0
5,95.0
12,96.0
3,97.0
7,98.0
9,99.0
19,100.0
3,101.0
6,102.0
9,103.0
1,104.0
6,105.0
7,106.0
5,107.0
14,108.0
20,109.0
4,110.0
15,111.0
23,112.0
3,113.0
4,114.0
14,115.0
6,116.0
7,117.0
17,118.0
2,119.0
7,120.0
17,121.0
15,122.0
22,123.0
26,124.0
2,125.0
7,126.0
18,127.0
2,128.0
6,129.0
9,130.0
1,131.0
6,132.0
16,133.0
4,134.0
7,135.0
27,136.0
1,137.0
14,138.0
2,139.0
3,140.0
6,141.0
14,142.0
19,143.0
1,144.0
26,145.0
2,146.0
6,147.0
7,148.0
24,149.0
8,150.0
24,151.0
18,152.0
21,153.0
3,154.0
4,155.0
1,156.0
7,157.0
19,158.0
24,159.0
4,160.0
9,161.0
2,162.0
21,163.0
2,164.0
3,165.0
6,166.0
16,167.0
2,168.0
3,169.0
5,170.0
16,171.0
1,172.0
14,173.0
6,174.0
16,175.0
5,176.0
17,177.0
5,178.0
11,179.0
1,180.0
15,181.0
10,182.0
24,183.0
1,184.0
3,185.0
4,186.0
7,187.0
1,188.0
9,189.0
23,190.0
26,191.0
1,192.0
5,193.0
1,194.0
4,195.0
3,196.0
17,197.0
14,198.0
15,199.0
2,200.0
16,201.0
4,202.0
5,203.0
7,204.0
16,205.0
4,206.0
13,207.0
22,208.0
4,209.0
18,210.0
7,211.0
17,212.0
27,213.0
2,214.0
11,215.0
12,216.0
26,217.0
3,218.0
9,219.0
25,220.0
1,221.0
4,222.0
11,223.0
13,224.0
30,225.0
13,226.0
15,227.0
19,228.0
26,229.0
6,230.0
10,231.0
17,232.0
19,233.0
9,234.0
23,235.0
26,236.0
4,237.0
13,238.0
15,239.0
23,240.0
29,241.0
1,242.0
10,243.0
24,244.0
3,245.0
11,246.0
13,247.0
1,248.0
16,249.0
4,250.0
6,251.0
13,252.0
14,253.0
15,254.0
20,255.0
11,256.0
15,257.0
26,258.0
12,259.0
22,260.0
25,261.0
7,262.0
14,263.0
29,264.0
7,265.0
8,266.0
23,267.0
6,268.0
24,269.0
26,270.0
27,271.0
4,272.0
8,273.0
26,274.0
3,275.0
9,276.0
19,277.0
22,278.0
6,279.0
7,280.0
8,281.0
25,282.0
30,283.0
14,284.0
18,285.0
30,286.0
8,287.0
13,288.0
19,289.0
24,290.0
9,291.0
10,292.0
13,293.0
19,294.0
22,295.0
5,296.0
9,297.0
14,298.0
17,299.0
23,300.0
6,301.0
7,302.0
8,303.0
15,304.0
3,305.0
22,306.0
8,307.0
20,308.0
10,309.0
17,310.0
13,311.0
24,312.0
13,313.0
22,314.0
6,315.0
25,316.0
4,317.0
22,318.0
10,319.0
11,320.0
4,321.0
7,322.0
5,323.0
14,324.0
9,325.0
10,326.0
13,327.0
19,328.0
21,329.0
22,330.0
6,331.0
21,332.0
6,333.0
18,334.0
6,335.0
20,336.0
5,337.0
11,338.0
11,339.0
25,340.0
4,341.0
27,342.0
13,343.0
18,344.0
19,345.0
21,346.0
7,347.0
21,348.0
6,349.0
8,350.0
11,351.0
17,352.0
7,353.0
18,354.0
6,355.0
19,356.0
7,357.0
19,358.0
4,359.0
13,360.0
12,361.0
25,362.0
21,363.0
24,364.0
8,365.0
21,366.0
11,367.0
16,368.0
6,369.0
10,370.0
7,371.0
19,372.0
9,373.0
19,374.0
3,375.0
24,376.0
2,377.0
11,378.0
1,379.0
22,380.0
6,381.0
23,382.0
6,383.0
8,384.0
12,385.0
25,386.0
7,387.0
15,388.0
2,389.0
13,390.0
7,391.0
12,392.0
4,393.0
6,394.0
2,395.0
17,396.0
1,397.0
6,398.0
1,399.0
10,400.0
12,401.0
14,402.0
1,403.0
14,404.0
3,405.0
19,406.0
4,407.0
9,408.0
1,409.0
23,410.0
8,411.0
20,412.0
12,413.0
5,414.0
9,415.0
3,416.0
13,417.0
4,418.0
18,419.0
2,420.0
15,421.0
2,422.0
19,423.0
1,424.0
2,425.0
17,426.0
26,427.0
5,428.0
22,429.0
22,430.0
23,431.0
15,432.0
22,433.0
3,434.0
13,435.0
6,436.0
23,437.0
6,438.0
9,439.0
5,440.0
14,441.0
6,442.0
9,443.0
3,444.0
22,445.0
20,446.0
21,447.0
22,448.0
24,449.0
11,450.0
21,451.0
1,452.0
13,453.0
1,454.0
2,455.0
17,456.0
24,457.0
1,458.0
20,459.0
1,460.0
7,461.0
1,462.0
11,463.0
2,464.0
3,465.0
4,466.0
13,467.0
9,468.0
10,469.0
1,470.0
16,471.0
1,472.0
2,473.0
1,474.0
16,475.0
1,476.0
2,477.0
1,478.0
25,479.0
1,480.0
4,481.0
1,482.0
2,483.0
1,484.0
18,485.0
11,486.0
13,487.0
4,488.0
11,489.0
1,490.0
12,491.0
3,492.0
19,493.0
17,494.0
22,495.0
3,496.0
17,497.0
1,498.0
12,499.0
2,500.0
5,501.0
1,502.0
13,503.0
1,504.0
2,505.0
1,506.0
16,507.0
3,508.0
4,509.0
7,510.0
3,511.0
10,512.0
11,513.0
19,514.0
13,515.0
23,516.0
3,517.0
4,518.0
1,519.0
5,520.0
1,521.0
2,522.0
6,523.0
22,524.0
2,525.0
4,526.0
3,527.0
23,528.0
2,529.0
4,530.0
3,531.0
22,532.0
5,533.0
6,534.0
15,535.0
20,536.0
1,537.0
9,538.0
4,539.0
18,540.0
2,541.0
19,542.0
2,543.0
20,544.0
1,545.0
14,546.0
1,547.0
3,548.0
4,549.0
24,550.0
1,551.0
2,552.0
9,553.0
16,554.0
3,555.0
7,556.0
3,557.0
8,558.0
12,559.0
19,560.0
2,561.0
7,562.0
3,563.0
21,564.0
6,565.0
7,566.0
6,567.0
15,568.0
1,569.0
5,570.0
2,571.0
3,572.0
23,573.0
26,574.0
3,575.0
7,576.0
13,577.0
15,578.0
1,579.0
17,580.0
1,581.0
2,582.0
1,583.0
11,584.0
1,585.0
2,586.0
1,587.0
2,588.0
1,589.0
2,590.0
1,591.0
2,592.0
1,593.0
22,594.0
1,595.0
2,596.0
1,597.0
2,598.0
1,599.0
2,600.0
10,601.0
14,602.0
1,603.0
6,604.0
1,605.0
4,606.0
1,607.0
2,608.0
1,609.0
2,610.0
2,611.0
11,612.0
1,613.0
2,614.0
1,615.0
2,616.0
1,617.0
5,618.0
1,619.0
15,620.0
7,621.0
21,622.0
1,623.0
26,624.0
1,625.0
25,626.0
1,627.0
2,628.0
2,629.0
4,630.0
1,631.0
2,632.0
1,633.0
13,634.0
2,635.0
17,636.0
1,637.0
3,638.0
11,639.0
12,640.0
15,641.0
25,642.0
1,643.0
18,644.0
2,645.0
3,646.0
2,647.0
22,648.0
1,649.0
3,650.0
1,651.0
4,652.0
3,653.0
20,654.0
3,655.0
5,656.0
3,657.0
14,658.0
1,659.0
3,660.0
2,661.0
16,662.0
1,663.0
3,664.0
1,665.0
3,666.0
2,667.0
4,668.0
13,669.0
14,670.0
22,671.0
23,672.0
4,673.0
15,674.0
1,675.0
19,676.0
1,677.0
3,678.0
1,679.0
2,680.0
1,681.0
25,682.0
19,683.0
24,684.0
3,685.0
25,686.0
3,687.0
25,688.0
2,689.0
4,690.0
4,691.0
7,692.0
1,693.0
4,694.0
1,695.0
2,696.0
2,697.0
4,698.0
2,699.0
22,700.0
5,701.0
20,702.0
1,703.0
2,704.0
1,705.0
3,706.0
3,707.0
5,708.0
4,709.0
22,710.0
23,711.0
24,712.0
4,713.0
9,714.0
3,715.0
17,716.0
1,717.0
14,718.0
1,719.0
18,720.0
21,721.0
23,722.0
5,723.0
18,724.0
2,725.0
22,726.0
1,727.0
3,728.0
5,729.0
25,730.0
1,731.0
4,732.0
2,733.0
3,734.0
2,735.0
26,736.0
1,737.0
21,738.0
2,739.0
23,740.0
1,741.0
22,742.0
1,743.0
25,744.0
12,745.0
15,746.0
2,747.0
5,748.0
1,749.0
8,750.0
14,751.0
18,752.0
4,753.0
6,754.0
5,755.0
24,756.0
4,757.0
23,758.0
24,759.0
25,760.0
4,761.0
8,762.0
3,763.0
21,764.0
22,765.0
24,766.0
1,767.0
3,768.0
1,769.0
18,770.0
14,771.0
21,772.0
15,773.0
21,774.0
3,775.0
8,776.0
2,777.0
21,778.0
11,779.0
13,780.0
17,781.0
26,782.0
13,783.0
19,784.0
3,785.0
25,786.0
12,787.0
18,788.0
4,789.0
22,790.0
2,791.0
18,792.0
3,793.0
5,794.0
3,795.0
6,796.0
3,797.0
26,798.0
7,799.0
16,800.0
3,801.0
12,802.0
4,803.0
6,804.0
20,805.0
23,806.0
5,807.0
10,808.0
18,809.0
24,810.0
5,811.0
24,812.0
15,813.0
24,814.0
7,815.0
11,816.0
5,817.0
19,818.0
10,819.0
16,820.0
16,821.0
24,822.0
5,823.0
24,824.0
2,825.0
4,826.0
9,827.0
19,828.0
8,829.0
23,830.0
9,831.0
10,832.0
2,833.0
7,834.0
4,835.0
24,836.0
5,837.0
16,838.0
4,839.0
15,840.0
7,841.0
22,842.0
3,843.0
8,844.0
8,845.0
14,846.0
2,847.0
6,848.0
5,849.0
18,850.0
4,851.0
5,852.0
5,853.0
6,854.0
3,855.0
5,856.0
5,857.0
18,858.0
4,859.0
16,860.0
3,861.0
11,862.0
3,863.0
20,864.0
13,865.0
17,866.0
3,867.0
8,868.0
1,869.0
3,870.0
4,871.0
10,872.0
5,873.0
22,874.0
6,875.0
14,876.0
19,877.0
20,878.0
6,879.0
7,880.0
7,881.0
20,882.0
7,883.0
19,884.0
4,885.0
12,886.0
3,887.0
19,888.0
14,889.0
20,890.0
16,891.0
19,892.0
1,893.0
9,894.0
2,895.0
21,896.0
12,897.0
14,898.0
4,899.0
10,900.0
1,901.0
2,902.0
1,903.0
2,904.0
1,905.0
2,906.0
2,907.0
6,908.0
1,909.0
17,910.0
1,911.0
2,912.0
1,913.0
18,914.0
15,915.0
18,916.0
3,917.0
6,918.0
2,919.0
15,920.0
1,921.0
2,922.0
1,923.0
2,924.0
2,925.0
6,926.0
7,927.0
16,928.0
4,929.0
18,930.0
1,931.0
3,932.0
1,933.0
3,934.0
16,935.0
18,936.0
1,937.0
18,938.0
2,939.0
18,940.0
3,941.0
14,942.0
1,943.0
2,944.0
1,945.0
7,946.0
2,947.0
19,948.0
1,949.0
18,950.0
2,951.0
3,952.0
5,953.0
13,954.0
1,955.0
2,956.0
1,957.0
2,958.0
5,959.0
15,960.0
5,961.0
16,962.0
3,963.0
16,964.0
1,965.0
17,966.0
17,967.0
19,968.0
11,969.0
14,970.0
2,971.0
3,972.0
1,973.0
2,974.0
1,975.0
2,976.0
2,977.0
3,978.0
1,979.0
6,980.0
4,981.0
7,982.0
1,983.0
2,984.0
1,985.0
2,986.0
2,987.0
3,988.0
1,989.0
3,990.0
1,991.0
4,992.0
2,993.0
18,994.0
5,995.0
19,996.0
2,997.0
3,998.0
2,999.0
4,1000.0
2,1001.0
17,1002.0
3,1003.0
6,1004.0
1,1005.0
22,1006.0
2,1007.0
4,1008.0
5,1009.0
9,1010.0
1,1011.0
21,1012.0
5,1013.0
19,1014.0
3,1015.0
12,1016.0
3,1017.0
6,1018.0
4,1019.0
22,1020.0
1,1021.0
19,1022.0
12,1023.0
19,1024.0
3,1025.0
5,1026.0
2,1027.0
4,1028.0
18,1029.0
20,1030.0
1,1031.0
3,1032.0
3,1033.0
4,1034.0
3,1035.0
9,1036.0
18,1037.0
20,1038.0
3,1039.0
12,1040.0
6,1041.0
14,1042.0
3,1043.0
18,1044.0
6,1045.0
20,1046.0
1,1047.0
19,1048.0
2,1049.0
4,1050.0
3,1051.0
21,1052.0
10,1053.0
14,1054.0
2,1055.0
3,1056.0
5,1057.0
11,1058.0
4,1059.0
5,1060.0
4,1061.0
16,1062.0
7,1063.0
15,1064.0
3,1065.0
17,1066.0
3,1067.0
18,1068.0
1,1069.0
3,1070.0
1,1071.0
18,1072.0
2,1073.0
4,1074.0
2,1075.0
5,1076.0
16,1077.0
20,1078.0
2,1079.0
5,1080.0
2,1081.0
7,1082.0
6,1083.0
14,1084.0
15,1085.0
20,1086.0
4,1087.0
5,1088.0
3,1089.0
5,1090.0
2,1091.0
19,1092.0
2,1093.0
5,1094.0
4,1095.0
14,1096.0
2,1097.0
14,1098.0
2,1099.0
3,1100.0
8,1101.0
20,1102.0
6,1103.0
17,1104.0
18,1105.0
20,1106.0
8,1107.0
12,1108.0
10,1109.0
11,1110.0
13,1111.0
18,1112.0
17,1113.0
18,1114.0
5,1115.0
6,1116.0
6,1117.0
7,1118.0
6,1119.0
7,1120.0
2,1121.0
7,1122.0
4,1123.0
20,1124.0
9,1125.0
20,1126.0
1,1127.0
7,1128.0
6,1129.0
19,1130.0
3,1131.0
9,1132.0
6,1133.0
18,1134.0
2,1135.0
11,1136.0
6,1137.0
8,1138.0
4,1139.0
9,1140.0
3,1141.0
5,1142.0
3,1143.0
16,1144.0
1,1145.0
7,1146.0
1,1147.0
5,1148.0
7,1149.0
11,1150.0
1,1151.0
20,1152.0
8,1153.0
15,1154.0
2,1155.0
16,1156.0
1,1157.0
3,1158.0
2,1159.0
20,1160.0
1,1161.0
17,1162.0
1,1163.0
3,1164.0
1,1165.0
4,1166.0
1,1167.0
14,1168.0
1,1169.0
2,1170.0
1,1171.0
19,1172.0
2,1173.0
19,1174.0
3,1175.0
5,1176.0
4,1177.0
22,1178.0
2,1179.0
14,1180.0
3,1181.0
5,1182.0
4,1183.0
15,1184.0
5,1185.0
21,1186.0
2,1187.0
20,1188.0
3,1189.0
6,1190.0
3,1191.0
18,1192.0
16,1193.0
18,1194.0
5,1195.0
7,1196.0
3,1197.0
18,1198.0
2,1199.0
15,1200.0
5,1201.0
21,1202.0
2,1203.0
20,1204.0
5,1205.0
21,1206.0
5,1207.0
11,1208.0
5,1209.0
8,1210.0
2,1211.0
3,1212.0
1,1213.0
2,1214.0
2,1215.0
5,1216.0
2,1217.0
3,1218.0
1,1219.0
2,1220.0
1,1221.0
7,1222.0
1,1223.0
2,1224.0
3,1225.0
7,1226.0
2,1227.0
3,1228.0
1,1229.0
9,1230.0
1,1231.0
4,1232.0
3,1233.0
5,1234.0
1,1235.0
2,1236.0
3,1237.0
4,1238.0
1,1239.0
21,1240.0
2,1241.0
19,1242.0
3,1243.0
7,1244.0
1,1245.0
5,1246.0
3,1247.0
5,1248.0
5,1249.0
13,1250.0
3,1251.0
17,1252.0
2,1253.0
12,1254.0
1,1255.0
8,1256.0
9,1257.0
19,1258.0
4,1259.0
10,1260.0
1,1261.0
5,1262.0
1,1263.0
5,1264.0
1,1265.0
5,1266.0
2,1267.0
4,1268.0
3,1269.0
10,1270.0
2,1271.0
7,1272.0
3,1273.0
10,1274.0
12,1275.0
17,1276.0
1,1277.0
18,1278.0
5,1279.0
7,1280.0
19,1281.0
20,1282.0
7,1283.0
20,1284.0
5,1285.0
6,1286.0
4,1287.0
12,1288.0
9,1289.0
16,1290.0
12,1291.0
16,1292.0
13,1293.0
14,1294.0
16,1295.0
20,1296.0
8,1297.0
18,1298.0
1,1299.0
5,1300.0
2,1301.0
4,1302.0
6,1303.0
19,1304.0
6,1305.0
12,1306.0
1,1307.0
7,1308.0
3,1309.0
11,1310.0
3,1311.0
9,1312.0
11,1313.0
19,1314.0
3,1315.0
7,1316.0
1,1317.0
6,1318.0
6,1319.0
8,1320.0
1,1321.0
2,1322.0
5,1323.0
14,1324.0
5,1325.0
23,1326.0
1,1327.0
2,1328.0
1,1329.0
2,1330.0
2,1331.0
3,1332.0
2,1333.0
4,1334.0
4,1335.0
5,1336.0
8,1337.0
20,1338.0
1,1339.0
22,1340.0
2,1341.0
23,1342.0
4,1343.0
19,1344.0
4,1345.0
5,1346.0
2,1347.0
12,1348.0
4,1349.0
5,1350.0
2,1351.0
3,1352.0
2,1353.0
6,1354.0
2,1355.0
8,1356.0
1,1357.0
4,1358.0
4,1359.0
6,1360.0
2,1361.0
3,1362.0
3,1363.0
6,1364.0
1,1365.0
24,1366.0
4,1367.0
6,1368.0
4,1369.0
20,1370.0
1,1371.0
22,1372.0
1,1373.0
4,1374.0
3,1375.0
22,1376.0
2,1377.0
4,1378.0
2,1379.0
5,1380.0
1,1381.0
5,1382.0
2,1383.0
4,1384.0
2,1385.0
7,1386.0
1,1387.0
3,1388.0
3,1389.0
22,1390.0
1,1391.0
3,1392.0
3,1393.0
14,1394.0
2,1395.0
3,1396.0
8,1397.0
18,1398.0
8,1399.0
9,1400.0
5,1401.0
16,1402.0
1,1403.0
16,1404.0
8,1405.0
19,1406.0
8,1407.0
10,1408.0
2,1409.0
24,1410.0
1,1411.0
6,1412.0
1,1413.0
23,1414.0
1,1415.0
23,1416.0
2,1417.0
24,1418.0
4,1419.0
5,1420.0
10,1421.0
24,1422.0
4,1423.0
5,1424.0
4,1425.0
21,1426.0
1,1427.0
5,1428.0
1,1429.0
20,1430.0
9,1431.0
11,1432.0
9,1433.0
17,1434.0
5,1435.0
11,1436.0
6,1437.0
10,1438.0
8,1439.0
9,1440.0
6,1441.0
16,1442.0
11,1443.0
12,1444.0
13,1445.0
20,1446.0
6,1447.0
8,1448.0
7,1449.0
9,1450.0
6,1451.0
11,1452.0
10,1453.0
12,1454.0
7,1455.0
8,1456.0
8,1457.0
10,1458.0
9,1459.0
15,1460.0
5,1461.0
14,1462.0
9,1463.0
12,1464.0
7,1465.0
10,1466.0
4,1467.0
6,1468.0
2,1469.0
3,1470.0
6,1471.0
9,1472.0
17,1473.0
18,1474.0
11,1475.0
13,1476.0
11,1477.0
12,1478.0
6,1479.0
10,1480.0
4,1481.0
9,1482.0
7,1483.0
11,1484.0
4,1485.0
7,1486.0
8,1487.0
9,1488.0
10,1489.0
12,1490.0
6,1491.0
12,1492.0
8,1493.0
10,1494.0
10,1495.0
18,1496.0
5,1497.0
14,1498.0
4,1499.0
5,1500.0
8,1501.0
12,1502.0
4,1503.0
9,1504.0
5,1505.0
11,1506.0
11,1507.0
17,1508.0
17,1509.0
18,1510.0
12,1511.0
14,1512.0
11,1513.0
20,1514.0
16,1515.0
20,1516.0
8,1517.0
19,1518.0
19,1519.0
20,1520.0
17,1521.0
20,1522.0
10,1523.0
19,1524.0
5,1525.0
9,1526.0
13,1527.0
14,1528.0
14,1529.0
18,1530.0
16,1531.0
17,1532.0
11,1533.0
16,1534.0
9,1535.0
11,1536.0
6,1537.0
11,1538.0
14,1539.0
20,1540.0
14,1541.0
15,1542.0
12,1543.0
17,1544.0
14,1545.0
21,1546.0
10,1547.0
20,1548.0
12,1549.0
13,1550.0
6,1551.0
10,1552.0
9,1553.0
19,1554.0
5,1555.0
9,1556.0
11,1557.0
22,1558.0
11,1559.0
19,1560.0
6,1561.0
18,1562.0
12,1563.0
13,1564.0
7,1565.0
22,1566.0
8,1567.0
12,1568.0
7,1569.0
21,1570.0
12,1571.0
14,1572.0
7,1573.0
19,1574.0
7,1575.0
9,1576.0
16,1577.0
18,1578.0
5,1579.0
9,1580.0
12,1581.0
