RaceResult,Race_Num
1,2.0
2,3.0
14,4.0
4,5.0
7,6.0
1,7.0
4,8.0
12,9.0
15,10.0
1,11.0
3,12.0
9,13.0
1,14.0
4,15.0
14,16.0
3,17.0
5,18.0
12,19.0
1,20.0
4,21.0
4,22.0
4,23.0
13,24.0
9,25.0
15,26.0
17,27.0
23,28.0
1,29.0
2,30.0
10,31.0
1,32.0
2,33.0
15,34.0
1,35.0
2,36.0
3,37.0
4,38.0
1,39.0
2,40.0
11,41.0
14,42.0
5,43.0
6,44.0
5,45.0
10,46.0
3,47.0
21,48.0
3,49.0
10,50.0
4,51.0
13,52.0
7,53.0
12,54.0
4,55.0
5,56.0
6,57.0
11,58.0
10,59.0
15,60.0
3,61.0
9,62.0
8,63.0
9,64.0
11,65.0
22,66.0
6,67.0
7,68.0
5,69.0
9,70.0
5,71.0
13,72.0
6,73.0
17,74.0
4,75.0
24,76.0
6,77.0
7,78.0
4,79.0
23,80.0
17,81.0
19,82.0
9,83.0
12,84.0
5,85.0
8,86.0
5,87.0
12,88.0
6,89.0
7,90.0
11,91.0
22,92.0
4,93.0
11,94.0
7,95.0
17,96.0
6,97.0
9,98.0
7,99.0
8,100.0
9,101.0
22,102.0
5,103.0
6,104.0
5,105.0
23,106.0
7,107.0
23,108.0
6,109.0
10,110.0
8,111.0
24,112.0
5,113.0
6,114.0
6,115.0
7,116.0
7,117.0
15,118.0
12,119.0
20,120.0
10,121.0
13,122.0
1,123.0
24,124.0
5,125.0
10,126.0
7,127.0
24,128.0
2,129.0
19,130.0
6,131.0
22,132.0
3,133.0
6,134.0
7,135.0
15,136.0
7,137.0
10,138.0
10,139.0
24,140.0
7,141.0
11,142.0
6,143.0
7,144.0
5,145.0
21,146.0
11,147.0
24,148.0
13,149.0
23,150.0
11,151.0
22,152.0
11,153.0
23,154.0
13,155.0
16,156.0
7,157.0
15,158.0
5,159.0
20,160.0
3,161.0
4,162.0
3,163.0
19,164.0
5,165.0
9,166.0
6,167.0
12,168.0
1,169.0
4,170.0
3,171.0
5,172.0
1,173.0
4,174.0
5,175.0
9,176.0
1,177.0
19,178.0
3,179.0
4,180.0
6,181.0
9,182.0
4,183.0
5,184.0
5,185.0
7,186.0
8,187.0
20,188.0
2,189.0
6,190.0
3,191.0
7,192.0
4,193.0
9,194.0
5,195.0
9,196.0
1,197.0
19,198.0
1,199.0
2,200.0
1,201.0
2,202.0
1,203.0
2,204.0
1,205.0
2,206.0
1,207.0
2,208.0
2,209.0
17,210.0
1,211.0
2,212.0
1,213.0
18,214.0
1,215.0
3,216.0
3,217.0
4,218.0
2,219.0
19,220.0
1,221.0
2,222.0
1,223.0
21,224.0
1,225.0
2,226.0
1,227.0
2,228.0
1,229.0
2,230.0
1,231.0
2,232.0
1,233.0
14,234.0
1,235.0
2,236.0
2,237.0
3,238.0
1,239.0
2,240.0
1,241.0
3,242.0
1,243.0
2,244.0
1,245.0
3,246.0
1,247.0
2,248.0
1,249.0
2,250.0
1,251.0
2,252.0
6,253.0
8,254.0
1,255.0
2,256.0
1,257.0
17,258.0
4,259.0
18,260.0
1,261.0
2,262.0
1,263.0
18,264.0
1,265.0
2,266.0
1,267.0
2,268.0
1,269.0
2,270.0
1,271.0
2,272.0
1,273.0
2,274.0
1,275.0
3,276.0
1,277.0
7,278.0
1,279.0
2,280.0
21,281.0
22,282.0
1,283.0
7,284.0
1,285.0
5,286.0
1,287.0
5,288.0
1,289.0
4,290.0
1,291.0
3,292.0
1,293.0
2,294.0
1,295.0
4,296.0
1,297.0
3,298.0
1,299.0
2,300.0
1,301.0
3,302.0
3,303.0
18,304.0
1,305.0
3,306.0
1,307.0
2,308.0
1,309.0
2,310.0
1,311.0
2,312.0
1,313.0
2,314.0
2,315.0
3,316.0
1,317.0
6,318.0
2,319.0
3,320.0
1,321.0
4,322.0
1,323.0
17,324.0
4,325.0
7,326.0
1,327.0
2,328.0
2,329.0
5,330.0
1,331.0
4,332.0
1,333.0
2,334.0
3,335.0
4,336.0
1,337.0
5,338.0
1,339.0
2,340.0
1,341.0
3,342.0
2,343.0
5,344.0
1,345.0
4,346.0
1,347.0
5,348.0
2,349.0
9,350.0
2,351.0
4,352.0
1,353.0
2,354.0
2,355.0
8,356.0
2,357.0
3,358.0
2,359.0
4,360.0
1,361.0
14,362.0
1,363.0
2,364.0
3,365.0
5,366.0
2,367.0
5,368.0
1,369.0
7,370.0
16,371.0
19,372.0
2,373.0
4,374.0
1,375.0
2,376.0
1,377.0
5,378.0
2,379.0
4,380.0
1,381.0
3,382.0
1,383.0
4,384.0
1,385.0
2,386.0
1,387.0
2,388.0
3,389.0
5,390.0
4,391.0
5,392.0
1,393.0
5,394.0
1,395.0
5,396.0
1,397.0
2,398.0
1,399.0
2,400.0
1,401.0
2,402.0
1,403.0
2,404.0
1,405.0
2,406.0
1,407.0
3,408.0
1,409.0
4,410.0
1,411.0
2,412.0
3,413.0
5,414.0
1,415.0
2,416.0
9,417.0
15,418.0
1,419.0
8,420.0
2,421.0
3,422.0
2,423.0
3,424.0
4,425.0
5,426.0
1,427.0
2,428.0
1,429.0
3,430.0
1,431.0
3,432.0
1,433.0
2,434.0
7,435.0
20,436.0
1,437.0
4,438.0
1,439.0
4,440.0
1,441.0
2,442.0
1,443.0
3,444.0
1,445.0
11,446.0
2,447.0
3,448.0
1,449.0
3,450.0
1,451.0
2,452.0
5,453.0
7,454.0
1,455.0
2,456.0
1,457.0
3,458.0
1,459.0
19,460.0
1,461.0
2,462.0
1,463.0
2,464.0
1,465.0
14,466.0
1,467.0
8,468.0
8,469.0
9,470.0
2,471.0
3,
