RaceResult,Race_Num
16,2.0
21,3.0
12,4.0
20,5.0
12,6.0
19,7.0
10,8.0
21,9.0
16,10.0
20,11.0
15,12.0
18,13.0
14,14.0
20,15.0
18,16.0
19,17.0
17,18.0
18,19.0
15,20.0
16,21.0
15,22.0
19,23.0
14,24.0
19,25.0
13,26.0
17,27.0
19,28.0
20,29.0
14,30.0
17,31.0
16,32.0
18,33.0
17,34.0
19,35.0
16,36.0
18,37.0
9,38.0
11,39.0
17,40.0
18,41.0
14,42.0
17,43.0
15,44.0
16,45.0
14,46.0
20,47.0
9,48.0
14,49.0
17,50.0
20,51.0
10,52.0
17,53.0
11,54.0
15,55.0
14,56.0
19,57.0
10,58.0
12,59.0
2,60.0
11,61.0
4,62.0
17,63.0
14,64.0
18,65.0
13,66.0
14,67.0
12,68.0
18,69.0
15,70.0
17,71.0
9,72.0
12,73.0
7,74.0
18,75.0
5,76.0
20,77.0
11,78.0
23,79.0
7,80.0
15,81.0
8,82.0
9,83.0
9,84.0
13,85.0
9,86.0
10,87.0
6,88.0
16,89.0
8,90.0
11,91.0
16,92.0
17,93.0
13,94.0
23,95.0
5,96.0
10,97.0
12,98.0
16,99.0
9,100.0
24,101.0
18,102.0
23,103.0
6,104.0
16,105.0
12,106.0
24,107.0
13,108.0
24,109.0
9,110.0
10,111.0
10,112.0
11,113.0
11,114.0
15,115.0
13,116.0
23,117.0
12,118.0
13,119.0
7,120.0
12,121.0
18,122.0
21,123.0
9,124.0
14,125.0
11,126.0
15,127.0
6,128.0
13,129.0
7,130.0
14,131.0
7,132.0
11,133.0
8,134.0
19,135.0
6,136.0
8,137.0
11,138.0
12,139.0
10,140.0
11,141.0
9,142.0
13,143.0
8,144.0
9,145.0
6,146.0
8,147.0
10,148.0
22,149.0
7,150.0
9,151.0
12,152.0
15,153.0
6,154.0
12,155.0
10,156.0
14,157.0
7,158.0
8,159.0
11,160.0
12,161.0
5,162.0
7,163.0
12,164.0
23,165.0
9,166.0
11,167.0
11,168.0
12,169.0
4,170.0
10,171.0
8,172.0
21,173.0
4,174.0
14,175.0
7,176.0
12,177.0
6,178.0
12,179.0
8,180.0
12,181.0
9,182.0
24,183.0
8,184.0
15,185.0
5,186.0
19,187.0
7,188.0
8,189.0
20,190.0
21,191.0
8,192.0
21,193.0
4,194.0
13,195.0
7,196.0
13,197.0
5,198.0
9,199.0
7,200.0
10,201.0
7,202.0
9,203.0
11,204.0
13,205.0
18,206.0
22,207.0
9,208.0
20,209.0
16,210.0
22,211.0
10,212.0
20,213.0
20,214.0
22,215.0
11,216.0
14,217.0
8,218.0
9,219.0
6,220.0
10,221.0
16,222.0
22,223.0
11,224.0
13,225.0
6,226.0
10,227.0
5,228.0
22,229.0
3,230.0
5,231.0
6,232.0
9,233.0
9,234.0
10,235.0
5,236.0
21,237.0
5,238.0
11,239.0
6,240.0
9,241.0
8,242.0
11,243.0
7,244.0
10,245.0
19,246.0
20,247.0
8,248.0
10,249.0
7,250.0
12,251.0
7,252.0
9,253.0
8,254.0
10,255.0
10,256.0
12,257.0
16,258.0
17,259.0
8,260.0
15,261.0
6,262.0
7,263.0
7,264.0
10,265.0
13,266.0
14,267.0
11,268.0
20,269.0
8,270.0
13,271.0
13,272.0
15,273.0
7,274.0
11,275.0
8,276.0
11,277.0
6,278.0
9,279.0
7,280.0
9,281.0
19,282.0
20,283.0
5,284.0
20,285.0
6,286.0
7,287.0
7,288.0
20,289.0
6,290.0
12,291.0
3,292.0
19,293.0
5,294.0
14,295.0
7,296.0
8,297.0
6,298.0
12,299.0
5,300.0
7,301.0
7,302.0
13,303.0
15,304.0
16,305.0
11,306.0
15,307.0
9,308.0
21,309.0
7,310.0
20,311.0
3,312.0
6,313.0
8,314.0
10,315.0
3,316.0
9,317.0
17,318.0
19,319.0
6,320.0
7,321.0
10,322.0
11,323.0
7,324.0
10,325.0
4,326.0
5,327.0
8,328.0
10,329.0
8,330.0
21,331.0
6,332.0
8,333.0
7,334.0
8,335.0
8,336.0
22,337.0
7,338.0
10,339.0
4,340.0
7,341.0
7,342.0
8,343.0
7,344.0
10,345.0
9,346.0
10,347.0
7,348.0
10,349.0
6,350.0
7,351.0
4,352.0
5,353.0
12,354.0
13,355.0
5,356.0
6,357.0
6,358.0
15,359.0
7,360.0
8,361.0
8,362.0
9,363.0
8,364.0
9,365.0
9,366.0
17,367.0
6,368.0
9,369.0
5,370.0
10,371.0
6,372.0
10,373.0
6,374.0
7,375.0
6,376.0
8,377.0
5,378.0
7,379.0
9,380.0
18,381.0
7,382.0
8,383.0
11,384.0
12,385.0
10,386.0
16,387.0
11,388.0
12,389.0
3,390.0
19,391.0
9,392.0
16,393.0
6,394.0
12,395.0
9,396.0
14,397.0
18,398.0
19,399.0
6,400.0
7,401.0
7,402.0
10,403.0
7,404.0
8,405.0
13,406.0
14,407.0
5,408.0
6,409.0
6,410.0
7,411.0
16,412.0
20,413.0
9,414.0
10,415.0
7,416.0
9,417.0
8,418.0
19,419.0
11,420.0
18,421.0
10,422.0
15,423.0
8,424.0
17,425.0
9,426.0
13,427.0
10,428.0
14,429.0
8,430.0
12,431.0
6,432.0
9,433.0
15,434.0
19,435.0
12,436.0
16,437.0
9,438.0
12,439.0
12,440.0
13,441.0
11,442.0
14,443.0
13,444.0
17,445.0
4,446.0
20,447.0
11,448.0
17,449.0
6,450.0
10,451.0
7,452.0
12,453.0
13,454.0
19,455.0
7,456.0
11,457.0
8,458.0
9,459.0
7,460.0
12,461.0
10,462.0
13,463.0
9,464.0
19,465.0
7,466.0
20,467.0
6,468.0
18,469.0
6,470.0
7,471.0
4,472.0
7,473.0
9,474.0
20,475.0
6,476.0
7,477.0
4,478.0
5,479.0
9,480.0
10,481.0
3,482.0
10,483.0
5,484.0
13,485.0
4,486.0
20,487.0
4,488.0
8,489.0
7,490.0
20,491.0
6,492.0
13,493.0
2,494.0
9,495.0
18,496.0
19,497.0
1,498.0
3,499.0
10,500.0
20,
