RaceResult,Race_Num
4,2.0
7,3.0
6,4.0
8,5.0
8,6.0
20,7.0
8,8.0
11,9.0
8,10.0
18,11.0
15,12.0
17,13.0
4,14.0
9,15.0
7,16.0
8,17.0
18,18.0
20,19.0
10,20.0
20,21.0
13,22.0
15,23.0
7,24.0
9,25.0
19,26.0
20,27.0
7,28.0
8,29.0
13,30.0
15,31.0
9,32.0
17,33.0
9,34.0
20,35.0
6,36.0
9,37.0
5,38.0
9,39.0
8,40.0
10,41.0
18,42.0
20,43.0
8,44.0
19,45.0
17,46.0
19,47.0
19,48.0
21,49.0
13,50.0
14,51.0
3,52.0
18,53.0
12,54.0
14,55.0
8,56.0
11,57.0
7,58.0
21,59.0
9,60.0
12,61.0
8,62.0
11,63.0
5,64.0
19,65.0
11,66.0
15,67.0
11,68.0
12,69.0
9,70.0
12,71.0
13,72.0
21,73.0
12,74.0
18,75.0
13,76.0
19,77.0
10,78.0
20,79.0
17,80.0
18,81.0
5,82.0
21,83.0
14,84.0
21,85.0
9,86.0
16,87.0
7,88.0
20,89.0
12,90.0
13,91.0
11,92.0
22,93.0
3,94.0
5,95.0
9,96.0
11,97.0
10,98.0
22,99.0
9,100.0
22,101.0
7,102.0
20,103.0
4,104.0
20,105.0
8,106.0
10,107.0
9,108.0
20,109.0
14,110.0
17,111.0
7,112.0
9,113.0
7,114.0
18,115.0
5,116.0
12,117.0
7,118.0
9,119.0
4,120.0
19,121.0
3,122.0
12,123.0
6,124.0
9,125.0
10,126.0
20,127.0
13,128.0
19,129.0
9,130.0
11,131.0
12,132.0
17,133.0
8,134.0
11,135.0
8,136.0
16,137.0
7,138.0
18,139.0
8,140.0
20,141.0
10,142.0
14,143.0
9,144.0
20,145.0
12,146.0
13,147.0
6,148.0
15,149.0
1,150.0
2,151.0
2,152.0
11,153.0
3,154.0
4,155.0
5,156.0
18,157.0
2,158.0
3,159.0
1,160.0
2,161.0
1,162.0
2,163.0
3,164.0
17,165.0
9,166.0
20,167.0
3,168.0
9,169.0
8,170.0
20,171.0
4,172.0
17,173.0
1,174.0
17,175.0
1,176.0
4,177.0
1,178.0
2,179.0
4,180.0
8,181.0
9,182.0
17,183.0
1,184.0
2,185.0
6,186.0
8,187.0
1,188.0
3,189.0
1,190.0
2,191.0
3,192.0
22,193.0
4,194.0
5,195.0
1,196.0
24,197.0
1,198.0
7,199.0
3,200.0
6,201.0
1,202.0
3,203.0
2,204.0
15,205.0
4,206.0
6,207.0
2,208.0
3,209.0
1,210.0
2,211.0
17,212.0
23,213.0
1,214.0
2,215.0
1,216.0
8,217.0
1,218.0
5,219.0
1,220.0
4,221.0
2,222.0
3,223.0
1,224.0
2,225.0
1,226.0
4,227.0
1,228.0
4,229.0
2,230.0
3,231.0
1,232.0
3,233.0
2,234.0
3,235.0
3,236.0
4,237.0
2,238.0
5,239.0
1,240.0
2,241.0
1,242.0
20,243.0
1,244.0
3,245.0
3,246.0
4,247.0
1,248.0
3,249.0
1,250.0
4,251.0
4,252.0
24,253.0
1,254.0
2,255.0
2,256.0
4,257.0
4,258.0
11,259.0
4,260.0
5,261.0
1,262.0
4,263.0
6,264.0
11,265.0
1,266.0
4,267.0
4,268.0
7,269.0
4,270.0
21,271.0
1,272.0
3,273.0
5,274.0
8,275.0
4,276.0
8,277.0
2,278.0
6,279.0
20,280.0
22,281.0
1,282.0
11,283.0
1,284.0
9,285.0
1,286.0
2,287.0
1,288.0
3,289.0
3,290.0
20,291.0
2,292.0
23,293.0
4,294.0
6,295.0
3,296.0
6,297.0
1,298.0
2,299.0
4,300.0
20,301.0
1,302.0
7,303.0
4,304.0
5,305.0
2,306.0
3,307.0
1,308.0
4,309.0
2,310.0
21,311.0
1,312.0
7,313.0
3,314.0
4,315.0
1,316.0
5,317.0
1,318.0
3,319.0
1,320.0
15,321.0
1,322.0
21,323.0
1,324.0
2,325.0
1,326.0
20,327.0
1,328.0
2,329.0
1,330.0
3,331.0
1,332.0
2,333.0
18,334.0
22,335.0
3,336.0
16,337.0
4,338.0
6,339.0
4,340.0
5,341.0
3,342.0
4,343.0
3,344.0
20,345.0
1,346.0
3,347.0
8,348.0
21,349.0
3,350.0
5,351.0
4,352.0
6,353.0
1,354.0
7,355.0
1,356.0
5,357.0
5,358.0
6,359.0
2,360.0
3,361.0
3,362.0
4,363.0
7,364.0
8,365.0
3,366.0
7,367.0
5,368.0
18,369.0
4,370.0
8,371.0
6,372.0
16,373.0
9,374.0
10,375.0
9,376.0
19,377.0
6,378.0
9,379.0
7,380.0
10,381.0
4,382.0
5,383.0
9,384.0
13,385.0
10,386.0
12,387.0
6,388.0
15,389.0
2,390.0
3,391.0
4,392.0
18,393.0
8,394.0
10,395.0
2,396.0
6,397.0
13,398.0
15,399.0
5,400.0
15,401.0
10,402.0
13,403.0
4,404.0
5,405.0
7,406.0
11,407.0
6,408.0
10,409.0
4,410.0
22,411.0
4,412.0
7,413.0
3,414.0
4,415.0
11,416.0
15,417.0
1,418.0
4,419.0
2,420.0
18,421.0
4,422.0
7,423.0
7,424.0
8,425.0
2,426.0
5,427.0
2,428.0
4,429.0
3,430.0
5,431.0
2,432.0
3,433.0
2,434.0
11,435.0
5,436.0
7,437.0
2,438.0
6,439.0
1,440.0
2,441.0
2,442.0
6,443.0
3,444.0
20,445.0
3,446.0
4,447.0
3,448.0
8,449.0
4,450.0
5,451.0
5,452.0
17,453.0
3,454.0
4,455.0
5,456.0
18,457.0
5,458.0
17,459.0
3,460.0
19,461.0
3,462.0
5,463.0
3,464.0
18,465.0
1,466.0
18,467.0
3,468.0
20,469.0
4,470.0
5,471.0
5,472.0
20,473.0
3,474.0
19,475.0
4,476.0
10,477.0
2,478.0
19,479.0
1,480.0
3,481.0
2,482.0
3,483.0
4,484.0
18,485.0
1,486.0
20,487.0
5,488.0
6,489.0
5,490.0
20,491.0
4,492.0
6,493.0
19,494.0
20,495.0
1,496.0
5,497.0
16,498.0
17,499.0
3,500.0
5,501.0
1,502.0
9,503.0
3,504.0
4,505.0
2,506.0
4,507.0
1,508.0
18,509.0
5,510.0
15,511.0
4,512.0
20,513.0
4,514.0
19,515.0
3,516.0
16,517.0
5,518.0
17,519.0
2,520.0
6,521.0
5,522.0
6,523.0
3,524.0
4,525.0
2,526.0
16,527.0
1,528.0
17,529.0
2,530.0
4,531.0
3,532.0
4,533.0
3,534.0
11,535.0
4,536.0
8,537.0
4,538.0
6,539.0
4,540.0
17,541.0
3,542.0
6,543.0
4,544.0
5,545.0
5,546.0
8,547.0
4,548.0
10,549.0
1,550.0
7,551.0
4,552.0
5,553.0
1,554.0
14,555.0
2,556.0
6,557.0
5,558.0
20,559.0
6,560.0
8,561.0
3,562.0
6,563.0
4,564.0
5,565.0
4,566.0
18,567.0
5,568.0
6,569.0
3,570.0
5,571.0
1,572.0
14,573.0
2,574.0
6,575.0
13,576.0
20,577.0
3,578.0
4,579.0
2,580.0
5,581.0
2,582.0
8,583.0
1,584.0
5,585.0
2,586.0
8,587.0
3,588.0
6,589.0
15,590.0
17,591.0
3,592.0
19,593.0
2,594.0
10,595.0
2,596.0
17,597.0
3,598.0
12,599.0
15,600.0
17,601.0
6,602.0
7,603.0
2,604.0
3,605.0
6,606.0
19,607.0
1,608.0
4,
