RaceResult,Race_Num
22,2.0
15,3.0
18,4.0
20,5.0
27,6.0
22,7.0
15,8.0
10,9.0
15,10.0
13,11.0
20,12.0
26,13.0
14,14.0
21,15.0
15,16.0
18,17.0
19,18.0
4,19.0
12,20.0
17,21.0
19,22.0
10,23.0
18,24.0
15,25.0
19,26.0
25,27.0
26,28.0
9,29.0
21,30.0
18,31.0
23,32.0
8,33.0
18,34.0
1,35.0
3,36.0
2,37.0
21,38.0
20,39.0
21,40.0
6,41.0
19,42.0
12,43.0
23,44.0
14,45.0
20,46.0
17,47.0
22,48.0
2,49.0
16,50.0
21,51.0
22,52.0
1,53.0
18,54.0
1,55.0
15,56.0
9,57.0
10,58.0
4,59.0
24,60.0
12,61.0
15,62.0
5,63.0
23,64.0
14,65.0
24,66.0
18,67.0
19,68.0
1,69.0
9,70.0
2,71.0
16,72.0
10,73.0
14,74.0
14,75.0
15,76.0
7,77.0
8,78.0
23,79.0
18,80.0
22,81.0
3,82.0
5,83.0
8,84.0
23,85.0
22,86.0
26,87.0
12,88.0
15,89.0
9,90.0
22,91.0
1,92.0
4,93.0
9,94.0
15,95.0
2,96.0
13,97.0
2,98.0
20,99.0
1,100.0
15,101.0
1,102.0
19,103.0
14,104.0
24,105.0
2,106.0
21,107.0
1,108.0
3,109.0
1,110.0
18,111.0
21,112.0
23,113.0
8,114.0
11,115.0
13,116.0
23,117.0
7,118.0
19,119.0
10,120.0
12,121.0
16,122.0
17,123.0
20,124.0
21,125.0
6,126.0
25,127.0
1,128.0
2,129.0
2,130.0
19,131.0
8,132.0
17,133.0
2,134.0
16,135.0
1,136.0
17,137.0
4,138.0
21,139.0
6,140.0
18,141.0
11,142.0
13,143.0
1,144.0
3,145.0
2,146.0
26,147.0
3,148.0
14,149.0
1,150.0
3,151.0
8,152.0
24,153.0
2,154.0
5,155.0
1,156.0
24,157.0
4,158.0
15,159.0
1,160.0
4,161.0
18,162.0
19,163.0
3,164.0
19,165.0
2,166.0
10,167.0
6,168.0
18,169.0
5,170.0
10,171.0
3,172.0
14,173.0
2,174.0
7,175.0
4,176.0
25,177.0
2,178.0
16,179.0
18,180.0
19,181.0
14,182.0
9,183.0
11,184.0
17,185.0
22,186.0
2,187.0
8,188.0
3,189.0
5,190.0
13,191.0
20,192.0
6,193.0
21,194.0
11,195.0
14,196.0
11,197.0
15,198.0
7,199.0
20,200.0
21,201.0
5,202.0
10,203.0
3,204.0
7,205.0
3,206.0
10,207.0
5,208.0
20,209.0
7,210.0
22,211.0
19,212.0
20,213.0
6,214.0
7,215.0
5,216.0
24,217.0
18,218.0
20,219.0
24,220.0
10,221.0
16,222.0
15,223.0
17,224.0
7,225.0
21,226.0
6,227.0
17,228.0
12,229.0
25,230.0
12,231.0
20,232.0
14,233.0
20,234.0
4,235.0
22,236.0
4,237.0
15,238.0
5,239.0
9,240.0
10,241.0
12,242.0
7,243.0
13,244.0
4,245.0
16,246.0
6,247.0
15,248.0
5,249.0
8,250.0
12,251.0
15,252.0
6,253.0
13,254.0
15,255.0
17,256.0
8,257.0
18,258.0
17,259.0
19,260.0
4,261.0
5,262.0
5,263.0
8,264.0
6,265.0
14,266.0
5,267.0
7,268.0
3,269.0
5,270.0
3,271.0
8,272.0
6,273.0
13,274.0
2,275.0
18,276.0
8,277.0
16,278.0
5,279.0
6,280.0
4,281.0
16,282.0
4,283.0
18,284.0
17,285.0
18,286.0
6,287.0
18,288.0
3,289.0
4,290.0
1,291.0
7,292.0
8,293.0
20,294.0
4,295.0
15,296.0
5,297.0
18,298.0
3,299.0
7,300.0
5,301.0
7,302.0
4,303.0
6,304.0
4,305.0
5,306.0
3,307.0
4,308.0
1,309.0
12,310.0
4,311.0
5,312.0
13,313.0
16,314.0
4,315.0
16,316.0
2,317.0
4,318.0
10,319.0
18,320.0
3,321.0
11,322.0
3,323.0
17,324.0
9,325.0
16,326.0
10,327.0
16,328.0
4,329.0
11,330.0
5,331.0
10,332.0
4,333.0
10,334.0
1,335.0
3,336.0
1,337.0
15,338.0
1,339.0
18,340.0
1,341.0
18,342.0
2,343.0
5,344.0
4,345.0
12,346.0
1,347.0
6,348.0
17,349.0
18,350.0
10,351.0
11,352.0
1,353.0
6,354.0
2,355.0
4,356.0
1,357.0
4,358.0
9,359.0
11,360.0
2,361.0
4,362.0
2,363.0
3,364.0
2,365.0
20,366.0
3,367.0
5,368.0
2,369.0
3,370.0
1,371.0
4,372.0
1,373.0
21,374.0
1,375.0
2,376.0
1,377.0
5,378.0
2,379.0
8,380.0
2,381.0
6,382.0
1,383.0
3,384.0
1,385.0
6,386.0
1,387.0
4,388.0
1,389.0
4,390.0
3,391.0
5,392.0
2,393.0
6,394.0
5,395.0
6,396.0
14,397.0
18,398.0
2,399.0
6,400.0
4,401.0
19,402.0
2,403.0
3,404.0
1,405.0
3,406.0
2,407.0
6,408.0
5,409.0
10,410.0
6,411.0
8,412.0
8,413.0
9,414.0
7,415.0
9,416.0
4,417.0
13,418.0
4,419.0
22,420.0
5,421.0
9,422.0
6,423.0
15,424.0
7,425.0
8,426.0
8,427.0
10,428.0
8,429.0
12,430.0
6,431.0
9,432.0
7,433.0
12,434.0
8,435.0
22,436.0
2,437.0
5,438.0
9,439.0
11,440.0
17,441.0
22,442.0
4,443.0
12,444.0
8,445.0
11,446.0
10,447.0
20,448.0
15,449.0
20,450.0
6,451.0
15,452.0
10,453.0
17,454.0
16,455.0
17,456.0
7,457.0
8,458.0
6,459.0
16,460.0
2,461.0
11,462.0
4,463.0
6,464.0
11,465.0
20,466.0
4,467.0
20,468.0
4,469.0
10,470.0
1,471.0
20,472.0
1,473.0
4,474.0
4,475.0
8,476.0
2,477.0
19,478.0
5,479.0
17,480.0
11,481.0
13,482.0
9,483.0
16,484.0
8,485.0
10,486.0
5,487.0
12,488.0
7,489.0
19,490.0
10,491.0
16,492.0
12,493.0
14,494.0
7,495.0
13,496.0
12,497.0
18,498.0
6,499.0
15,500.0
15,501.0
18,502.0
5,503.0
15,504.0
3,505.0
20,506.0
10,507.0
16,508.0
13,509.0
20,510.0
14,511.0
18,512.0
11,513.0
21,514.0
2,515.0
19,516.0
4,517.0
19,518.0
5,519.0
7,520.0
8,521.0
11,522.0
3,523.0
13,524.0
6,525.0
15,526.0
7,527.0
