RaceResult,Race_Num
16,2.0
20,3.0
11,4.0
19,5.0
18,6.0
24,7.0
7,8.0
24,9.0
19,10.0
20,11.0
17,12.0
22,13.0
14,14.0
19,15.0
12,16.0
17,17.0
11,18.0
26,19.0
25,20.0
2,21.0
25,22.0
20,23.0
22,24.0
14,25.0
18,26.0
23,27.0
24,28.0
9,29.0
27,30.0
20,31.0
11,32.0
4,33.0
7,34.0
16,35.0
10,36.0
8,37.0
18,38.0
5,39.0
22,40.0
15,41.0
20,42.0
21,43.0
13,44.0
2,45.0
9,46.0
9,47.0
10,48.0
15,49.0
16,50.0
9,51.0
16,52.0
3,53.0
15,54.0
17,55.0
19,56.0
14,57.0
24,58.0
2,59.0
11,60.0
4,61.0
6,62.0
1,63.0
18,64.0
1,65.0
2,66.0
1,67.0
5,68.0
1,69.0
24,70.0
3,71.0
9,72.0
1,73.0
3,74.0
12,75.0
14,76.0
1,77.0
18,78.0
3,79.0
24,80.0
5,81.0
19,82.0
14,83.0
19,84.0
2,85.0
3,86.0
1,87.0
16,88.0
1,89.0
6,90.0
1,91.0
3,92.0
11,93.0
27,94.0
2,95.0
3,96.0
25,97.0
2,98.0
3,99.0
15,100.0
4,101.0
11,102.0
25,103.0
2,104.0
3,105.0
11,106.0
1,107.0
2,108.0
27,109.0
28,110.0
1,111.0
2,112.0
9,113.0
27,114.0
1,115.0
2,116.0
1,117.0
2,118.0
2,119.0
4,120.0
3,121.0
12,122.0
1,123.0
18,124.0
2,125.0
13,126.0
4,127.0
7,128.0
10,129.0
17,130.0
2,131.0
21,132.0
11,133.0
18,134.0
4,135.0
5,136.0
3,137.0
18,138.0
2,139.0
3,140.0
10,141.0
19,142.0
1,143.0
8,144.0
2,145.0
5,146.0
12,147.0
19,148.0
2,149.0
20,150.0
2,151.0
11,152.0
6,153.0
11,154.0
4,155.0
5,156.0
7,157.0
13,158.0
3,159.0
5,160.0
5,161.0
14,162.0
5,163.0
7,164.0
3,165.0
14,166.0
2,167.0
24,168.0
1,169.0
9,170.0
8,171.0
24,172.0
5,173.0
6,174.0
3,175.0
15,176.0
4,177.0
23,178.0
5,179.0
6,180.0
4,181.0
7,182.0
1,183.0
9,184.0
5,185.0
6,186.0
2,187.0
5,188.0
4,189.0
17,190.0
11,191.0
12,192.0
6,193.0
10,194.0
8,195.0
19,196.0
15,197.0
20,198.0
11,199.0
28,200.0
13,201.0
20,202.0
29,203.0
5,204.0
25,205.0
2,206.0
22,207.0
16,208.0
18,209.0
4,210.0
19,211.0
21,212.0
24,213.0
6,214.0
8,215.0
4,216.0
8,217.0
21,218.0
22,219.0
5,220.0
8,221.0
1,222.0
4,223.0
19,224.0
23,225.0
20,226.0
21,227.0
22,228.0
23,229.0
8,230.0
20,231.0
19,232.0
20,233.0
19,234.0
22,235.0
14,236.0
22,237.0
21,238.0
23,239.0
5,240.0
19,241.0
5,242.0
17,243.0
7,244.0
8,245.0
4,246.0
6,247.0
1,248.0
16,249.0
2,250.0
26,251.0
18,252.0
19,253.0
6,254.0
12,255.0
19,256.0
25,257.0
6,258.0
18,259.0
11,260.0
14,261.0
2,262.0
4,263.0
1,264.0
3,265.0
1,266.0
2,267.0
1,268.0
25,269.0
1,270.0
25,271.0
2,272.0
13,273.0
2,274.0
22,275.0
4,276.0
7,277.0
1,278.0
19,279.0
1,280.0
3,281.0
5,282.0
15,283.0
1,284.0
3,285.0
1,286.0
2,287.0
1,288.0
3,289.0
1,290.0
3,291.0
12,292.0
13,293.0
1,294.0
2,295.0
1,296.0
3,297.0
4,298.0
5,299.0
2,300.0
12,301.0
2,302.0
6,303.0
1,304.0
26,305.0
14,306.0
17,307.0
2,308.0
21,309.0
2,310.0
5,311.0
1,312.0
2,313.0
1,314.0
2,315.0
1,316.0
12,317.0
1,318.0
14,319.0
1,320.0
2,321.0
1,322.0
3,323.0
3,324.0
24,325.0
1,326.0
4,327.0
1,328.0
2,329.0
15,330.0
27,331.0
9,332.0
11,333.0
20,334.0
22,335.0
13,336.0
21,337.0
6,338.0
17,339.0
20,340.0
22,341.0
19,342.0
21,343.0
16,344.0
20,345.0
20,346.0
23,347.0
2,348.0
8,349.0
21,350.0
23,351.0
6,352.0
15,353.0
7,354.0
18,355.0
7,356.0
11,357.0
14,358.0
19,359.0
2,360.0
5,361.0
6,362.0
22,363.0
4,364.0
13,365.0
15,366.0
23,367.0
4,368.0
19,369.0
10,370.0
15,371.0
2,372.0
24,373.0
2,374.0
6,375.0
1,376.0
2,377.0
3,378.0
16,379.0
10,380.0
22,381.0
4,382.0
23,383.0
3,384.0
16,385.0
4,386.0
19,387.0
3,388.0
4,389.0
15,390.0
16,391.0
5,392.0
17,393.0
2,394.0
3,395.0
1,396.0
3,397.0
3,398.0
9,399.0
5,400.0
13,401.0
1,402.0
20,403.0
4,404.0
13,405.0
18,406.0
22,407.0
5,408.0
9,409.0
6,410.0
25,411.0
2,412.0
21,413.0
5,414.0
6,415.0
1,416.0
4,417.0
20,418.0
22,419.0
5,420.0
20,421.0
7,422.0
19,423.0
4,424.0
5,425.0
4,426.0
5,427.0
5,428.0
6,429.0
14,430.0
20,431.0
2,432.0
14,433.0
19,434.0
25,435.0
2,436.0
17,437.0
3,438.0
6,439.0
1,440.0
2,441.0
1,442.0
5,443.0
1,444.0
26,445.0
1,446.0
2,447.0
2,448.0
3,449.0
5,450.0
20,451.0
1,452.0
21,453.0
1,454.0
19,455.0
1,456.0
3,457.0
3,458.0
19,459.0
2,460.0
5,461.0
1,462.0
2,463.0
1,464.0
2,465.0
1,466.0
2,467.0
1,468.0
22,469.0
1,470.0
2,471.0
2,472.0
3,473.0
17,474.0
23,475.0
1,476.0
2,477.0
1,478.0
2,479.0
1,480.0
8,481.0
2,482.0
13,483.0
2,484.0
3,485.0
5,486.0
13,487.0
1,488.0
19,489.0
1,490.0
16,491.0
17,492.0
20,493.0
1,494.0
21,495.0
2,496.0
16,497.0
2,498.0
3,499.0
1,500.0
18,501.0
1,502.0
19,503.0
2,504.0
4,505.0
1,506.0
3,507.0
1,508.0
2,509.0
1,510.0
16,511.0
1,512.0
15,513.0
1,514.0
12,515.0
1,516.0
3,517.0
1,518.0
12,519.0
2,520.0
3,521.0
2,522.0
4,523.0
2,524.0
3,525.0
2,526.0
13,527.0
18,528.0
24,529.0
6,530.0
22,531.0
22,532.0
1,533.0
17,534.0
2,535.0
5,536.0
2,537.0
14,538.0
1,539.0
5,540.0
8,541.0
13,542.0
2,543.0
15,544.0
1,545.0
4,546.0
1,547.0
6,548.0
1,549.0
2,550.0
2,551.0
20,552.0
1,553.0
4,554.0
1,555.0
19,556.0
2,557.0
16,558.0
1,559.0
19,560.0
1,561.0
4,562.0
4,563.0
17,564.0
2,565.0
22,566.0
14,567.0
22,568.0
2,569.0
3,570.0
3,571.0
15,572.0
2,573.0
22,574.0
1,575.0
2,576.0
2,577.0
22,578.0
17,579.0
19,580.0
1,581.0
3,582.0
3,583.0
16,584.0
2,585.0
3,586.0
13,587.0
14,588.0
1,589.0
19,590.0
1,591.0
2,592.0
1,593.0
17,594.0
1,595.0
2,596.0
1,597.0
4,598.0
1,599.0
11,600.0
8,601.0
11,602.0
3,603.0
13,604.0
1,605.0
2,606.0
1,607.0
2,608.0
1,609.0
15,610.0
1,611.0
3,612.0
1,613.0
2,614.0
2,615.0
5,616.0
7,617.0
16,618.0
1,619.0
2,620.0
1,621.0
16,622.0
8,623.0
19,624.0
1,625.0
9,626.0
1,627.0
20,628.0
1,629.0
13,630.0
11,631.0
15,632.0
1,633.0
8,634.0
4,635.0
19,636.0
2,637.0
4,638.0
1,639.0
21,640.0
14,641.0
20,642.0
1,643.0
18,644.0
3,645.0
5,646.0
3,647.0
5,648.0
1,649.0
3,650.0
1,651.0
3,652.0
2,653.0
14,654.0
3,655.0
6,656.0
3,657.0
5,658.0
5,659.0
7,660.0
9,661.0
17,662.0
4,663.0
5,664.0
6,665.0
8,666.0
5,667.0
20,668.0
10,669.0
14,670.0
4,671.0
15,672.0
7,673.0
21,674.0
6,675.0
17,676.0
3,677.0
9,678.0
3,679.0
5,680.0
4,681.0
13,682.0
7,683.0
15,684.0
5,685.0
8,686.0
5,687.0
6,688.0
3,689.0
17,690.0
4,691.0
12,692.0
11,693.0
17,694.0
8,695.0
10,696.0
5,697.0
19,698.0
4,699.0
12,700.0
4,701.0
14,702.0
3,703.0
11,704.0
19,705.0
22,706.0
4,707.0
14,708.0
9,709.0
22,710.0
5,711.0
8,712.0
2,713.0
7,714.0
4,715.0
19,716.0
10,717.0
17,718.0
5,719.0
22,720.0
3,721.0
11,722.0
5,723.0
6,724.0
17,725.0
20,726.0
4,727.0
5,728.0
4,729.0
17,730.0
10,731.0
18,732.0
14,733.0
21,734.0
11,735.0
14,736.0
5,737.0
8,738.0
5,739.0
14,740.0
4,741.0
7,742.0
5,743.0
9,744.0
3,745.0
5,746.0
3,747.0
15,748.0
15,749.0
21,750.0
5,751.0
17,752.0
16,753.0
18,754.0
15,755.0
18,756.0
5,757.0
19,758.0
13,759.0
16,760.0
1,761.0
14,762.0
2,763.0
19,764.0
14,765.0
19,766.0
11,767.0
21,768.0
1,769.0
16,770.0
2,771.0
4,772.0
2,773.0
19,774.0
4,775.0
17,776.0
1,777.0
14,778.0
4,779.0
8,780.0
7,781.0
16,782.0
1,783.0
3,784.0
18,785.0
20,786.0
2,787.0
6,788.0
2,789.0
16,790.0
1,791.0
2,792.0
2,793.0
5,794.0
3,795.0
4,796.0
2,797.0
11,798.0
3,799.0
4,800.0
3,801.0
17,802.0
7,803.0
16,804.0
4,805.0
20,806.0
3,807.0
8,808.0
4,809.0
5,810.0
2,811.0
3,812.0
3,813.0
11,814.0
3,815.0
5,816.0
14,817.0
20,818.0
4,819.0
16,820.0
4,821.0
11,822.0
2,823.0
8,824.0
4,825.0
12,826.0
7,827.0
15,828.0
4,829.0
7,830.0
4,831.0
5,832.0
6,833.0
17,834.0
1,835.0
4,836.0
2,837.0
3,838.0
1,839.0
2,840.0
1,841.0
2,842.0
2,843.0
9,844.0
1,845.0
16,846.0
3,847.0
4,848.0
2,849.0
5,850.0
6,851.0
19,852.0
12,853.0
20,854.0
4,855.0
5,856.0
2,857.0
19,858.0
7,859.0
13,860.0
3,861.0
7,862.0
6,863.0
15,864.0
4,865.0
10,866.0
8,867.0
19,868.0
17,869.0
18,870.0
11,871.0
