Driver,Races
ascari,29
sommer,2
villoresi,22
whitehead,9
serafini,1
biondetti,1
taruffi,14
fischer,7
gonzalez,17
reg_parnell,2
landi,1
hirt,4
simon,2
farina,23
rosier,14
tornaco,3
comotti,1
carini,3
salvadori,1
laurent,1
schoeller,1
hawthorn,37
swaters,5
adolff,1
terra,1
maglioli,6
trintignant,19
manzon,6
frere,3
schell,2
castellotti,14
claes,1
fangio,10
musso,15
gendebien,8
collins,23
scarlatti,2
andre_pilette,1
portago,6
trips,26
perdisa,1
tomaso,1
phil_hill,31
brooks,7
behra,3
allison,7
gurney,4
ginther,10
mairesse,10
baghetti,8
ricardo_rodriguez,6
bandini,35
surtees,30
scarfiotti,9
rodriguez,8
vaccarella,1
bondurant,1
parkes,6
amon,27
williams,1
ickx,56
adamich,1
bell,2
giunti,4
regazzoni,73
mario_andretti,13
galli,1
merzario,11
lauda,58
reutemann,34
gilles_villeneuve,67
scheckter,29
pironi,27
tambay,23
arnoux,32
alboreto,80
johansson,31
berger,96
mansell,31
prost,31
alesi,79
morbidelli,1
capelli,14
larini,4
irvine,65
michael_schumacher,181
salo,6
barrichello,104
massa,140
raikkonen,152
badoer,2
fisichella,5
alonso,96
vettel,119
leclerc,38
